date,AQI,PM2.5,PM10,CO,NO2,SO2,O3_8h,class
20131202,294,244,377,4.2,138,144,29,5
20131203,329,279,426,5.2,107,123,44,6
20131204,273,223,357,3.8,101,141,23,5
20131205,137,105,187,2.8,81,95,27,3
20131206,288,238,379,3.9,105,122,21,5
20131207,477,383,577,5.9,125,143,31,6
20131208,367,301,474,4.4,100,75,20,6
20131209,75,49,100,1.7,51,58,29,2
20131210,183,138,237,3,63,73,42,4
20131211,90,51,129,1.9,56,94,43,2
20131212,115,87,177,2.7,68,87,34,3
20131213,159,121,199,2.8,73,141,27,4
20131214,241,191,293,3.3,107,165,28,5
20131215,265,215,326,4.4,118,160,26,5
20131216,298,248,377,4.3,129,167,26,5
20131217,242,192,304,4.4,113,165,15,5
20131218,171,130,203,3.3,73,103,24,4
20131219,221,171,252,3.5,87,117,27,5
20131220,345,295,437,5.6,123,158,27,6
20131221,417,360,517,5.7,128,138,29,6
20131222,336,286,425,4.8,122,193,22,6
20131223,484,390,584,6.7,149,197,26,6
20131224,416,353,516,5.8,167,206,22,6
20131225,500,442,649,5.6,181,204,25,6
20131226,71,37,91,1.3,46,47,41,2
20131227,169,128,207,2.8,90,112,23,4
20131228,102,76,143,1.5,65,82,36,3
20131229,100,63,149,1.2,62,76,38,2
20131230,127,77,204,1.7,67,70,48,3
20131231,137,56,224,1.4,52,48,51,3
20140101,117,77,185,1.8,57,64,48,3
20140102,278,228,375,4.8,124,134,25,5
20140103,251,201,347,4.4,97,111,30,5
20140104,245,195,306,3,98,118,18,5
20140105,229,179,322,3.4,114,121,22,5
20140106,203,153,264,2.8,83,107,17,5
20140107,257,207,317,3.1,91,115,27,5
20140108,127,96,161,2.4,64,75,39,3
20140109,151,116,199,2.1,71,97,42,4
20140110,302,252,378,4.2,99,139,36,6
20140111,445,360,545,5.7,132,175,42,6
20140112,261,211,321,3.6,93,119,56,5
20140113,268,218,324,3.7,95,167,37,5
20140114,270,220,324,3.9,109,150,30,5
20140115,477,396,577,6.4,141,174,25,6
20140116,500,522,765,6.5,155,178,22,6
20140117,366,316,445,3.8,113,134,21,6
20140118,500,383,602,5.6,138,143,30,6
20140119,399,303,499,4.7,122,124,49,6
20140120,95,26,140,0.7,27,37,59,2
20140121,134,103,152,2.6,63,83,35,3
20140122,258,208,326,4.3,106,157,28,5
20140123,350,300,455,5.8,149,199,21,6
20140124,285,235,398,4.3,154,186,22,5
20140125,204,154,254,3.3,103,143,41,5
20140126,134,102,168,2.1,58,118,45,3
20140127,298,248,357,4.7,101,161,30,5
20140128,219,169,242,3,74,103,56,5
20140129,253,203,324,3.9,80,143,40,5
20140130,250,200,323,3.3,88,127,57,5
20140131,236,186,293,2.7,53,103,41,5
20140201,175,133,229,2.8,52,77,32,4
20140202,253,203,350,3.1,59,92,39,5
20140203,83,44,116,1.5,28,44,68,2
20140204,78,56,106,1.9,32,56,71,2
20140205,111,84,137,1.6,34,82,59,3
20140206,194,146,226,2.8,55,92,63,4
20140207,127,96,131,1.7,41,51,44,3
20140208,138,105,147,1.8,35,53,76,3
20140209,52,36,54,1.3,36,58,65,2
20140210,161,122,163,2.5,53,75,68,4
20140211,202,152,228,3.3,75,147,59,5
20140212,291,241,348,4.2,101,167,53,5
20140213,411,311,511,5.9,112,176,45,6
20140214,470,374,570,6.1,126,174,47,6
20140215,500,429,630,5.7,148,171,45,6
20140216,410,347,510,4.8,116,178,42,6
20140217,162,124,206,2.8,58,100,72,4
20140218,109,82,139,2.2,60,73,70,3
20140219,124,94,163,2.4,67,86,47,3
20140220,273,223,334,3.4,81,122,40,5
20140221,303,253,389,3.8,120,156,21,6
20140222,337,287,443,4.4,126,165,20,6
20140223,279,229,351,3.6,89,110,12,5
20140224,290,240,376,4.4,102,158,12,5
20140225,462,358,562,5.6,128,202,23,6
20140226,500,434,673,6,152,189,60,6
20140227,149,115,174,2.9,64,66,56,3
20140228,118,90,153,3.3,70,127,46,3
20140301,174,132,230,3.4,73,117,65,4
20140302,239,189,311,4.1,93,126,52,5
20140303,282,232,364,4.6,98,94,37,5
20140304,168,127,232,3.5,75,90,54,4
20140305,74,47,98,2.3,49,61,66,2
20140306,98,74,137,2.6,55,71,60,2
