date,aqi,pm2.5,pm10,co,no2,so2,o3,class
20131202,142,109,138,2.6,88,61,11,3
20131203,86,64,86,1.6,54,38,45,2
20131204,109,82,101,2.0,62,42,23,3
20131205,56,39,56,1.2,38,30,52,2
20131206,169,128,162,2.5,78,48,15,4
20131207,291,241,285,4.2,98,64,6,5
20131208,223,173,189,2.9,60,47,41,5
20131209,26,11,16,0.6,22,10,51,1
20131210,45,21,45,1.0,29,14,52,1
20131211,30,19,30,0.7,30,15,45,1
20131212,29,16,29,0.8,25,11,56,1
20131213,66,48,63,1.3,45,29,29,2
20131214,56,40,48,1.2,41,29,46,2
20131215,64,46,55,1.5,49,31,31,2
20131216,134,102,126,2.5,70,59,10,3
20131217,80,59,41,1.4,39,35,42,2
20131218,45,29,45,0.9,32,22,43,1
20131219,63,45,60,1.2,50,30,35,2
20131220,45,30,45,1.1,46,28,47,1
20131221,82,61,81,1.6,69,43,30,2
20131222,179,135,178,2.8,95,67,14,4
20131223,166,126,166,2.9,90,62,30,4
20131224,269,219,268,4.8,123,94,10,5
20131225,219,169,219,3.3,94,65,54,5
20131226,30,10,20,0.4,21,9,59,1
20131227,23,16,21,0.6,34,19,40,1
20131228,31,11,18,0.3,21,11,61,1
20131229,78,58,87,1.7,76,48,30,2
20131230,67,43,84,1.1,53,28,59,2
20131231,99,50,148,1.2,49,23,63,2
20140101,81,45,111,1.5,62,28,52,2
20140102,145,111,168,3.4,93,69,14,3
20140103,74,47,98,1.3,52,29,56,2
20140104,149,114,147,2.8,75,40,14,3
20140105,119,91,117,2.3,67,36,44,3
20140106,182,138,158,2.4,68,46,12,4
20140107,145,111,125,2.0,60,34,43,3
20140108,27,15,25,0.5,21,13,53,1
20140109,46,27,46,0.8,35,19,53,1
20140110,85,63,94,1.9,71,53,19,2
20140111,139,106,128,2.8,90,76,11,3
20140112,47,27,47,0.7,39,27,59,1
20140113,109,82,107,2.3,78,67,20,3
20140114,108,82,108,2.4,74,68,24,3
20140115,125,95,117,2.7,84,66,18,3
20140116,402,353,384,4.6,123,109,20,6
20140117,215,165,194,2.4,76,67,30,5
20140118,99,74,81,1.5,61,42,36,2
20140119,151,115,186,2.5,72,71,41,4
20140120,35,8,35,0.3,15,6,65,1
20140121,26,18,25,0.7,34,27,50,1
20140122,150,115,138,2.2,93,75,16,3
20140123,271,221,263,4.0,125,118,8,5
20140124,197,148,168,2.8,92,79,23,4
20140125,42,24,42,1.0,42,24,61,1
20140126,72,53,81,1.0,47,45,44,2
20140127,118,89,120,1.8,60,57,56,3
20140128,62,40,75,0.9,38,28,56,2
20140129,155,118,141,2.3,75,71,32,4
20140130,96,72,97,1.2,46,39,68,2
20140131,190,143,182,1.4,48,63,38,4
20140201,179,135,146,2.0,57,52,12,4
20140202,89,66,97,1.2,31,19,73,2
20140203,37,5,32,0.3,8,5,73,1
20140204,40,27,40,0.6,21,19,68,1
20140205,117,88,102,1.6,49,53,42,3
20140206,157,120,130,2.0,64,66,39,4
20140207,133,102,67,1.6,59,33,30,3
20140208,90,67,40,1.2,36,23,66,2
20140209,33,9,16,0.5,18,16,65,1
20140210,35,24,28,0.7,38,26,55,1
20140211,129,98,111,2.1,77,58,37,3
20140212,146,111,116,2.2,77,53,47,3
20140213,238,188,173,2.8,84,73,24,5
20140214,315,265,295,3.1,95,73,27,6
20140215,428,393,449,3.8,110,100,25,6
20140216,346,296,204,3.2,88,79,60,6
20140217,138,105,52,2.1,72,67,56,3
20140218,95,71,84,1.1,61,38,44,2
20140219,87,64,72,1.2,60,34,64,2
20140220,214,164,175,2.2,79,45,30,5
20140221,309,259,284,2.7,101,78,26,6
20140222,313,263,300,3.4,102,102,18,6
20140223,261,211,246,3.6,92,130,14,5
20140224,310,260,327,4.7,119,133,19,6
20140225,403,354,389,5.2,122,78,13,6
20140226,366,316,250,3.7,106,81,18,6
20140227,35,16,24,0.5,25,13,70,1
20140228,103,78,102,1.5,71,33,47,3
20140301,54,38,57,0.8,48,23,70,2
20140302,178,135,165,2.6,93,60,40,4
20140303,268,218,248,4.2,102,96,18,5
20140304,77,57,78,1.3,40,27,74,2
20140305,35,20,35,0.8,35,16,66,1
20140306,39,16,28,0.6,29,14,77,1
20140307,66,48,72,1.1,53,26,65,2
20140308,172,131,166,2.3,92,68,38,4
20140309,124,94,118,1.6,68,45,72,3
20140310,107,81,101,1.7,72,53,45,3
20140311,205,155,196,2.4,80,76,68,5
20140312,41,11,23,0.4,26,9,82,1
20140313,62,20,75,0.6,37,14,77,2
20140314,64,21,79,0.5,31,13,86,2
20140315,124,94,173,1.5,89,43,61,3
20140316,148,113,198,2.1,72,76,97,3
20140317,145,83,241,1.2,50,27,82,3
20140318,87,37,124,0.6,36,17,91,2
20140319,72,46,93,0.8,46,17,78,2
20140320,44,10,27,0.4,23,5,87,1
20140321,57,25,64,0.6,43,11,92,2
20140322,82,47,115,0.8,53,16,96,2
20140323,177,134,183,1.6,69,44,146,4
20140324,270,220,249,2.0,93,53,115,5
20140325,250,200,237,1.6,92,43,159,5
20140326,319,269,318,2.0,111,43,137,6
20140327,299,249,300,2.4,107,34,86,5
20140328,168,128,171,1.7,66,25,90,4
20140329,63,39,76,0.6,37,7,95,2
20140330,64,31,78,0.5,58,8,92,2
20140331,176,133,183,1.8,81,35,89,4
20140401,137,104,117,0.9,60,17,125,3
20140402,130,99,159,1.0,58,21,135,3
20140403,65,23,80,0.5,36,6,93,2
20140404,91,32,132,0.6,40,8,100,2
20140405,65,22,80,0.4,29,6,100,2
20140406,96,53,143,0.7,58,12,109,2
20140407,128,97,176,0.8,62,20,144,3
20140408,224,174,237,1.5,82,38,184,5
20140409,159,121,239,0.9,50,19,145,4
20140410,251,87,386,1.3,52,27,94,5
20140411,81,60,112,1.0,60,17,94,2
20140412,131,100,136,1.4,75,25,136,3
20140413,207,157,190,1.3,71,25,194,5
20140414,279,229,263,1.9,79,33,188,5
20140415,120,91,142,1.0,61,16,130,3
20140416,82,51,113,0.7,68,12,80,2
20140417,120,91,124,1.4,71,19,101,3
20140418,183,138,124,1.5,65,17,115,4
20140419,83,61,84,0.8,65,15,87,2
20140420,81,60,80,0.6,54,7,99,2
20140421,67,48,79,0.6,56,7,107,2
20140422,86,58,101,0.6,54,9,143,2
20140423,151,116,147,0.9,41,21,145,4
20140424,151,115,133,0.9,47,19,140,4
20140425,171,129,190,1.0,69,20,153,4
20140426,66,37,82,0.4,28,4,86,2
20140427,73,51,93,0.6,48,6,127,2
20140428,84,61,98,0.7,49,8,141,2
20140429,118,89,143,0.9,68,17,175,3
20140430,136,103,158,1.0,67,19,200,3
20140501,159,121,186,0.8,41,19,161,4
20140502,48,23,46,0.3,21,3,95,1
20140503,89,38,127,0.4,43,6,93,2
20140504,55,26,59,0.3,17,3,87,2
20140505,51,23,53,0.4,36,4,99,2
20140506,99,74,124,0.9,61,27,117,2
20140507,85,63,102,0.9,45,12,103,2
20140508,99,74,107,1.0,46,16,157,2
20140509,83,61,106,1.3,52,33,119,2
20140510,69,50,87,1.2,50,27,107,2
20140511,46,24,20,0.8,29,3,92,1
20140512,77,34,68,0.6,44,7,132,2
20140513,87,52,124,0.7,57,10,109,2
20140514,56,17,63,0.3,26,7,94,2
20140515,115,59,181,0.5,61,7,107,3
20140516,86,45,121,0.6,49,10,128,2
20140517,122,56,120,1.0,60,25,184,3
20140518,171,77,142,0.9,56,23,236,4
20140519,145,106,158,1.0,45,15,210,3
20140520,105,79,130,0.9,46,9,157,3
20140521,169,107,168,1.5,53,25,234,4
20140522,180,136,196,1.4,61,37,202,4
20140523,140,81,156,0.8,55,20,204,3
20140524,101,76,80,1.0,46,6,143,3
20140525,88,65,114,0.7,29,2,95,2
20140526,76,22,77,0.4,55,5,131,2
20140527,97,35,145,0.4,42,4,103,2
20140528,115,30,87,0.6,55,8,176,3
20140529,119,42,115,0.7,60,10,181,3
20140530,205,84,171,1.6,53,37,294,5
20140531,195,114,215,2.1,58,45,260,4
20140601,164,44,55,0.6,26,2,229,4
20140602,93,26,43,0.4,26,2,152,2
