date,aqi,pm2.5,pm10,co,no2,so2,o3,class
20131202,106,67,163,2.3,56,91,15,3
20131203,103,73,156,1.8,53,64,17,3
20131204,97,61,145,1.9,52,66,9,2
20131205,87,50,124,1.3,41,51,34,2
20131206,94,43,139,1.7,49,57,17,2
20131207,112,60,174,2.0,54,66,11,3
20131208,121,80,191,2.1,48,57,19,3
20131209,35,18,35,0.4,16,17,49,1
20131210,58,28,66,0.6,24,30,49,2
20131211,45,25,45,0.6,22,26,50,1
20131212,49,23,49,0.5,18,21,50,1
20131213,44,30,40,0.5,22,22,54,1
20131214,58,36,66,0.7,26,49,44,2
20131215,69,43,87,1.0,38,41,34,2
20131216,88,56,127,1.6,49,64,14,2
20131217,76,55,103,1.1,34,42,55,2
20131218,40,24,40,0.5,15,19,60,1
20131219,50,27,50,0.6,29,32,59,1
20131220,51,29,53,0.7,33,31,64,2
20131221,64,45,78,0.9,45,40,48,2
20131222,97,71,143,1.9,57,76,23,2
20131223,96,68,142,1.8,57,72,29,2
20131224,115,87,166,2.5,64,84,13,3
20131225,141,108,197,2.5,59,64,48,3
20131226,35,12,34,0.4,13,16,70,1
20131227,47,27,47,0.7,31,34,61,1
20131228,52,31,53,0.9,35,38,65,2
20131229,78,50,106,1.5,53,70,35,2
20131230,83,53,116,1.6,53,63,50,2
20131231,77,40,103,1.1,36,45,66,2
20140101,69,38,88,1.2,41,51,56,2
20140102,99,74,145,2.2,60,84,19,2
20140103,83,59,116,1.6,45,53,50,2
20140104,87,63,124,1.6,51,66,18,2
20140105,112,84,150,1.9,54,48,36,3
20140106,111,84,144,1.8,55,60,21,3
20140107,117,88,144,1.7,47,43,59,3
20140108,48,25,48,0.6,25,27,65,1
20140109,62,40,74,1.1,41,46,54,2
20140110,81,53,112,1.7,52,74,31,2
20140111,91,65,132,2.0,54,79,23,2
20140112,52,26,54,0.8,31,31,74,2
20140113,75,55,98,1.4,52,60,36,2
20140114,73,52,95,1.4,50,54,44,2
20140115,78,54,105,1.6,54,73,31,2
20140116,114,86,165,2.0,65,94,23,3
20140117,78,56,106,1.2,49,52,44,2
20140118,58,28,66,1.0,45,48,53,2
20140119,104,51,159,1.6,52,72,61,3
20140120,54,18,57,0.4,12,13,75,2
20140121,37,24,37,0.6,25,27,66,1
20140122,82,47,113,1.7,57,77,32,2
20140123,128,97,186,2.7,70,110,14,3
20140124,177,134,240,2.8,72,103,22,4
20140125,59,35,69,1.0,39,37,78,2
20140126,72,48,93,1.3,51,70,37,2
20140127,105,79,143,1.5,46,60,61,3
20140128,60,35,70,0.9,36,47,61,2
20140129,124,94,166,1.9,54,70,44,3
20140130,86,63,99,1.2,33,42,75,2
20140131,212,162,238,1.4,40,97,63,5
20140201,181,137,217,1.9,52,97,18,4
20140202,95,70,140,1.0,25,33,85,2
20140203,42,16,41,0.3,7,12,83,1
20140204,48,28,48,0.5,18,33,79,1
20140205,75,55,90,1.3,40,68,57,2
20140206,106,80,130,1.6,42,67,68,3
20140207,120,91,126,1.4,38,41,41,3
20140208,68,49,71,0.8,20,38,78,2
20140209,41,21,29,0.4,17,23,82,1
20140210,48,28,48,0.9,31,33,63,1
20140211,72,53,89,1.6,50,56,50,2
20140212,71,52,91,1.2,45,43,59,2
20140213,115,87,140,1.7,54,67,48,3
20140214,253,203,286,2.6,71,85,55,5
20140215,300,250,350,3.1,76,93,51,5
20140216,209,159,239,2.2,60,45,67,5
20140217,64,41,79,0.9,43,39,72,2
20140218,86,64,121,1.4,53,63,38,2
20140219,97,73,117,1.3,50,39,72,2
