date,aqi,pm2.5,pm10,co,no2,so2,o3,class
20131202,255,205,283,3.1,140,153,12,5
20131203,153,117,178,1.8,92,86,35,4
20131204,230,180,246,3.0,102,111,18,5
20131205,108,81,131,1.6,62,74,35,3
20131206,207,157,217,2.2,85,92,16,5
20131207,427,390,480,5.6,144,98,9,6
20131208,338,288,407,3.2,94,54,11,6
20131209,56,23,61,0.5,34,25,33,2
20131210,115,87,171,1.6,54,59,33,3
20131211,65,44,81,1.1,50,54,35,2
20131212,71,42,92,0.7,41,39,43,2
20131213,88,65,107,1.3,57,70,33,2
20131214,120,91,136,1.7,73,73,28,3
20131215,151,116,168,2.6,86,78,17,4
20131216,332,282,357,5.3,135,101,10,6
20131217,250,200,258,3.8,94,136,9,5
20131218,81,59,86,0.9,51,48,21,2
20131219,90,67,95,1.1,56,55,24,2
20131220,90,67,103,1.3,62,50,35,2
20131221,113,86,114,1.3,82,66,23,3
20131222,362,312,360,3.4,116,143,9,6
20131223,317,267,323,3.4,131,126,19,6
20131224,374,324,391,5.1,151,149,11,6
20131225,421,382,488,4.6,135,95,22,6
20131226,54,13,58,0.3,24,13,48,2
20131227,52,30,55,0.7,53,34,31,2
20131228,53,38,56,0.6,46,33,39,2
20131229,152,116,166,1.9,75,95,30,4
20131230,101,76,146,1.4,72,67,35,3
20131231,141,108,215,2.1,70,69,41,3
20140101,153,117,207,2.1,73,83,42,4
20140102,203,153,223,3.0,84,100,27,5
20140103,102,77,143,1.2,57,46,31,3
20140104,136,104,136,1.7,70,85,23,3
20140105,172,130,165,1.8,71,68,54,4
20140106,189,142,173,1.8,64,59,39,4
20140107,166,126,162,1.6,63,50,55,4
20140108,51,25,52,0.5,38,25,52,2
20140109,64,43,79,0.9,51,39,38,2
20140110,248,198,258,2.4,96,139,39,5
20140111,402,353,421,3.8,125,169,14,6
20140112,103,77,119,0.8,53,44,34,3
20140113,212,162,217,2.3,86,125,31,5
20140114,270,220,297,3.7,92,131,30,5
20140115,346,296,383,3.8,117,144,25,6
20140116,425,388,514,3.6,96,90,23,6
20140117,205,155,208,1.5,73,94,19,5
20140118,281,231,313,2.8,91,93,31,5
20140119,214,164,252,2.4,77,95,22,5
20140120,76,15,102,0.3,19,14,48,2
20140121,39,21,39,0.5,35,27,40,1
20140122,212,162,245,2.7,88,123,21,5
20140123,322,272,385,3.7,114,127,11,6
20140124,295,245,340,3.5,107,130,17,5
20140125,143,110,162,1.7,64,100,44,3
20140126,89,66,117,1.4,50,69,41,2
20140127,139,106,175,1.7,63,87,30,3
20140128,69,37,87,0.9,30,46,48,2
20140129,203,153,218,2.1,67,96,28,5
20140130,156,119,175,1.2,48,72,56,4
20140131,213,163,245,2.0,48,92,26,5
20140201,152,116,154,1.5,35,31,15,4
20140202,92,69,134,1.0,23,32,58,2
20140203,67,15,85,0.3,13,19,58,2
20140204,57,26,64,0.5,22,34,50,2
20140205,96,72,103,1.2,37,72,48,2
20140206,130,99,136,2.0,58,91,32,3
20140207,112,85,107,1.2,55,73,27,3
20140208,80,59,74,0.9,28,41,54,2
20140209,28,15,24,0.4,20,22,56,1
20140210,52,37,51,0.8,38,45,56,2
20140211,195,146,181,2.1,71,96,49,4
20140212,244,194,237,3.5,86,94,39,5
20140213,226,176,220,2.1,71,73,45,5
20140214,322,272,326,3.2,92,126,34,6
20140215,493,489,574,5.3,119,128,21,6
20140216,385,335,412,3.8,86,108,39,6
20140217,109,82,138,2.0,57,75,58,3
20140218,82,61,103,1.2,56,55,49,2
20140219,119,90,133,1.8,64,58,56,3
20140220,205,155,193,1.9,62,50,35,5
