date,aqi,pm2.5,pm10,co,no2,so2,o3,class
20131202,365,315,398,4.5,116,156,13,6
20131203,287,237,320,4.1,97,176,20,5
20131204,241,191,297,3.4,102,174,15,5
20131205,99,70,148,2.4,54,120,31,2
20131206,140,107,170,2.2,70,128,16,3
20131207,280,230,317,5.0,80,271,8,5
20131208,340,290,404,5.8,76,239,6,6
20131209,67,34,84,1.1,36,56,48,2
20131210,116,88,162,2.0,54,81,35,3
20131211,63,40,75,1.0,49,50,41,2
20131212,97,73,137,2.0,51,93,49,2
20131213,76,56,97,1.3,50,59,38,2
20131214,118,90,145,2.0,65,96,34,3
20131215,137,105,173,3.6,84,211,22,3
20131216,328,278,428,9.3,122,438,8,6
20131217,197,148,213,4.4,65,212,5,4
20131218,73,54,83,1.6,54,76,39,2
20131219,80,59,90,1.6,54,77,38,2
20131220,139,107,155,2.7,71,136,28,3
20131221,184,139,187,3.3,89,147,17,4
20131222,317,267,345,4.4,120,227,14,6
20131223,358,308,389,5.9,127,247,14,6
20131224,168,128,184,3.7,83,194,18,4
20131225,333,283,382,4.2,129,182,8,6
20131226,65,35,79,1.1,39,39,48,2
20131227,63,43,77,1.2,47,49,42,2
20131228,70,51,87,1.5,50,55,45,2
20131229,120,91,144,2.2,72,85,37,3
20131230,104,78,146,1.7,65,65,42,3
20131231,112,68,175,1.6,60,88,52,3
20140101,104,66,158,2.2,65,92,41,3
20140102,156,119,191,4.0,74,165,14,4
20140103,179,136,218,4.1,81,172,20,4
20140104,120,91,135,3.3,64,186,28,3
20140105,166,126,188,3.7,66,180,26,4
20140106,213,163,208,4.4,72,221,14,5
20140107,190,143,182,2.2,63,106,20,4
20140108,66,44,81,1.7,46,107,50,2
20140109,81,60,109,1.9,55,99,53,2
20140110,201,151,208,2.5,83,134,24,5
20140111,363,313,378,4.2,116,177,15,6
20140112,177,134,189,2.7,71,104,43,4
20140113,129,99,138,2.4,77,127,34,3
20140114,222,172,245,5.7,83,254,18,5
20140115,292,242,303,4.2,113,179,19,5
20140116,378,328,430,9.0,83,257,7,6
20140117,192,145,189,3.8,71,173,16,4
20140118,204,154,208,2.9,68,108,40,5
20140119,223,173,225,3.9,78,203,18,5
20140120,71,25,92,0.8,26,32,61,2
20140121,58,34,65,1.4,42,61,34,2
20140122,173,131,196,3.2,86,187,20,4
20140123,252,202,293,5.0,103,227,14,5
20140124,321,271,383,7.0,109,302,6,6
20140125,133,101,155,2.7,54,153,42,3
20140126,68,47,86,2.2,53,110,42,2
20140127,188,142,202,3.2,75,135,32,4
20140128,77,55,103,1.4,40,80,57,2
20140129,142,108,159,2.7,60,102,37,3
20140130,249,199,271,3.5,54,131,59,5
20140131,175,133,212,5.3,57,232,31,4
20140201,144,110,147,3.2,43,105,9,3
20140202,113,86,147,1.8,32,62,53,3
20140203,59,21,67,1.0,20,43,75,2
20140204,57,41,63,1.0,27,47,68,2
20140205,78,57,91,1.9,51,105,53,2
20140206,118,90,141,3.4,57,170,49,3
20140207,270,220,266,4.6,72,143,11,5
20140208,143,110,145,3.3,57,138,24,3
20140209,52,28,54,1.4,39,55,66,2
20140210,77,56,89,2.7,56,104,56,2
20140211,111,84,116,1.9,65,110,58,3
20140212,203,153,197,3.5,74,147,53,5
20140213,160,122,166,2.9,57,147,70,4
20140214,243,193,240,3.0,81,153,52,5
20140215,304,254,306,3.4,91,154,47,6
20140216,248,198,282,4.7,71,177,60,5
20140217,92,69,125,2.5,61,110,69,2
20140218,105,79,130,2.8,61,124,54,3
20140219,156,120,175,3.5,74,152,46,4
20140220,202,152,193,2.9,69,127,36,5
20140221,368,318,412,7.9,134,287,18,6
20140222,311,261,326,4.4,77,203,44,6
20140223,245,195,241,3.5,65,161,49,5
20140224,333,283,378,7.0,107,277,29,6
