date,aqi,pm2.5,pm10,co,no2,so2,o3,class
20131202,310,260,420,3.5,139,201,13,6
20131203,225,175,271,3.2,111,143,31,5
20131204,275,225,360,3.9,128,197,12,5
20131205,126,96,183,2.3,70,101,26,3
20131206,116,88,159,1.6,70,114,16,3
20131207,295,245,400,3.1,107,141,11,5
20131208,248,198,329,4.0,87,89,9,5
20131209,42,24,42,1.0,35,40,39,1
20131210,109,79,167,2.0,58,96,36,3
20131211,70,39,91,1.4,51,78,36,2
20131212,86,47,121,1.4,45,68,48,2
20131213,79,50,108,1.6,55,92,33,2
20131214,103,78,152,2.2,68,113,39,3
20131215,158,121,223,3.3,102,176,13,4
20131216,206,156,274,4.4,122,178,10,5
20131217,123,93,131,3.0,57,123,8,3
20131218,87,65,100,2.7,53,113,29,2
20131219,100,75,124,2.4,62,120,27,2
20131220,113,85,138,2.6,68,133,32,3
20131221,112,84,140,2.2,72,138,25,3
20131222,242,192,274,3.1,89,184,16,5
20131223,314,264,406,5.4,126,260,12,6
20131224,227,177,257,4.4,96,165,20,5
20131225,371,321,462,4.2,110,213,16,6
20131226,31,16,31,1.1,33,47,45,1
20131227,44,26,44,1.3,50,67,34,1
20131228,62,42,73,1.4,54,75,42,2
20131229,130,99,175,2.7,69,147,27,3
20131230,132,100,200,3.1,79,146,31,3
20131231,144,89,238,2.5,71,115,37,3
20140101,131,91,212,2.3,75,123,28,3
20140102,146,112,224,3.0,96,133,10,3
20140103,109,83,148,2.3,71,108,25,3
20140104,69,50,73,1.4,65,120,22,2
20140105,121,92,143,2.6,67,109,31,3
20140106,138,106,142,2.2,69,86,19,3
20140107,137,105,147,2.2,67,105,24,3
20140108,54,34,59,1.2,44,59,45,2
20140109,70,47,91,1.4,57,80,36,2
20140110,203,153,242,2.5,86,150,18,5
20140111,357,307,431,4.3,111,146,13,6
20140112,130,99,151,1.9,62,78,48,3
20140113,113,85,137,2.3,75,133,21,3
20140114,148,114,191,3.2,84,136,14,3
20140115,319,269,392,4.8,113,176,13,6
20140116,283,233,302,3.8,85,107,8,5
20140117,129,98,127,2.3,64,113,16,3
20140118,246,196,269,4.3,88,142,24,5
20140119,247,197,267,3.6,93,163,14,5
20140120,67,18,84,1.2,28,43,52,2
20140121,26,18,24,1.4,35,55,34,1
20140122,140,107,185,2.4,80,151,24,3
20140123,162,123,204,2.4,90,143,21,4
20140124,245,195,300,4.7,114,176,8,5
20140125,91,68,106,1.8,61,101,38,2
20140126,57,35,65,1.5,56,71,39,2
20140127,137,105,178,2.3,73,100,25,3
20140128,78,50,106,1.6,49,70,49,2
20140129,106,80,145,1.8,60,120,28,3
20140130,146,112,186,2.4,48,89,54,3
