date,aqi,pm2.5,pm10,co,no2,so2,o3,class
20131202,114,80,178,1.9,74,125,34,3
20131203,83,45,117,1.1,47,87,52,2
20131204,94,50,138,1.2,53,119,41,2
20131205,61,31,72,0.7,31,84,56,2
20131206,84,53,119,1.1,44,93,40,2
20131207,100,66,149,1.3,55,135,35,2
20131208,67,29,83,0.6,20,79,58,2
20131209,40,19,40,0.5,18,79,72,1
20131210,88,22,126,0.4,17,53,71,2
20131211,54,28,59,0.8,34,96,68,2
20131212,45,20,45,0.5,22,51,69,1
20131213,68,32,87,0.9,35,96,53,2
20131214,64,32,77,0.7,26,72,65,2
20131215,73,39,96,0.9,33,91,51,2
20131216,78,50,107,1.0,34,93,52,2
20131217,47,25,47,0.5,15,58,71,1
20131218,54,27,57,0.7,23,81,65,2
20131219,53,25,56,0.7,23,79,65,2
20131220,54,30,57,0.7,22,73,63,2
20131221,59,32,67,0.9,31,83,67,2
20131222,75,49,100,1.1,36,89,52,2
20131223,79,48,108,0.9,24,61,56,2
20131224,103,77,150,1.3,48,120,51,3
20131225,108,61,165,1.1,28,70,62,3
20131226,48,23,48,0.6,18,50,64,1
20131227,62,40,73,0.9,29,75,47,2
20131228,51,32,52,0.8,22,71,63,2
20131229,81,49,112,1.2,37,93,47,2
20131230,106,53,163,1.2,30,84,60,3
20131231,144,38,239,0.8,18,66,70,3
20140101,107,41,163,1.1,29,93,59,3
20140102,91,52,131,1.3,34,108,40,2
20140103,120,53,191,1.1,28,89,53,3
20140104,86,58,122,1.3,35,103,35,2
20140105,74,43,98,1.1,32,93,53,2
20140106,165,126,207,2.4,51,167,32,4
20140107,93,69,105,1.2,26,92,64,2
20140108,57,32,64,0.8,18,66,56,2
20140109,72,39,95,1.0,26,71,52,2
20140110,79,39,108,1.1,29,78,45,2
20140111,79,41,108,1.0,24,76,58,2
20140112,60,43,68,1.1,27,82,57,2
20140113,74,47,98,1.2,29,93,46,2
20140114,69,40,88,1.1,25,75,55,2
20140115,74,45,98,1.3,44,113,43,2
20140116,83,50,115,1.4,48,120,53,2
20140117,61,27,73,0.9,26,65,63,2
20140118,74,36,97,1.3,43,102,43,2
20140119,159,56,267,1.4,37,98,74,4
20140120,55,18,60,0.7,17,52,72,2
20140121,56,36,62,0.9,24,68,49,2
20140122,91,60,132,1.7,54,129,34,2
20140123,129,98,188,2.6,68,191,30,3
20140124,77,37,104,1.2,36,104,66,2
20140125,50,20,50,0.8,20,81,67,1
20140126,97,59,145,1.5,42,132,42,2
20140127,117,72,183,1.4,35,104,65,3
20140128,68,41,86,1.2,32,110,57,2
20140129,111,75,172,1.7,40,130,70,3
20140130,73,48,97,1.1,29,103,71,2
20140131,233,183,282,2.2,52,207,53,5
20140201,240,190,318,2.6,55,193,59,5
20140202,118,79,185,1.0,17,76,77,3
20140203,59,21,68,0.6,9,51,81,2
20140204,59,39,68,0.8,17,76,68,2
20140205,87,60,125,1.7,33,146,55,2
20140206,148,113,190,2.0,35,142,53,3
20140207,214,164,230,2.5,59,106,42,5
20140208,58,42,60,0.6,11,50,76,2
20140209,38,21,30,0.7,11,48,75,1
20140210,57,38,65,1.0,24,71,70,2
20140211,73,52,96,1.2,28,95,51,2
20140212,65,37,79,1.0,22,73,70,2
20140213,141,108,192,2.1,45,117,49,3
20140214,289,239,362,3.3,68,152,56,5
20140215,99,74,144,1.4,35,100,63,2
20140216,53,28,55,0.9,22,70,68,2
20140217,111,84,149,1.6,33,101,77,3
20140218,137,104,186,1.9,41,101,65,3
20140219,51,30,52,0.9,27,65,76,2
20140220,73,50,97,1.2,31,96,55,2
20140221,383,305,486,4.9,122,293,33,6
20140222,383,308,486,4.0,91,161,34,6
20140223,390,312,492,4.0,86,151,30,6
20140224,356,301,465,4.6,96,216,33,6
20140225,320,270,419,5.1,103,193,44,6
20140226,224,174,274,3.2,65,102,51,5
20140227,32,22,29,0.8,22,49,64,1
20140228,73,53,78,1.7,48,107,42,2
