province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,保定市,130600,,,,267.0,39.0,91.0,3.073,19.0,19.0,215.0,338.0,2013-11-01 00:00:00
河北省,保定市,130600,,,,314.0,29.0,84.0,4.494,12.0,10.0,258.0,409.0,2013-11-02 00:00:00
河北省,保定市,130600,,,,129.0,28.0,64.0,2.313,67.0,52.0,89.0,168.0,2013-11-03 00:00:00
河北省,保定市,130600,,,,175.0,73.0,82.0,3.517,97.0,55.0,128.0,243.0,2013-11-04 00:00:00
河北省,保定市,130600,,,,201.0,89.0,86.0,2.005,38.0,25.0,156.0,280.0,2013-11-05 00:00:00
河北省,保定市,130600,,,,175.0,30.0,49.0,1.285,72.0,60.0,105.0,252.0,2013-11-06 00:00:00
河北省,保定市,130600,,,,97.0,45.0,39.0,0.981,67.0,54.0,56.0,134.0,2013-11-07 00:00:00
河北省,保定市,130600,,,,199.0,85.0,91.0,1.865,41.0,33.0,151.0,287.0,2013-11-08 00:00:00
河北省,保定市,130600,,,,243.0,70.0,102.0,2.482,47.0,45.0,189.0,339.0,2013-11-09 00:00:00
河北省,保定市,130600,,,,80.0,23.0,34.0,1.01,54.0,46.0,38.0,108.0,2013-11-10 00:00:00
河北省,保定市,130600,,,,122.0,38.0,53.0,1.463,60.0,41.0,79.0,174.0,2013-11-11 00:00:00
河北省,保定市,130600,,,,147.0,59.0,70.0,1.584,51.0,40.0,100.0,210.0,2013-11-12 00:00:00
河北省,保定市,130600,,,,327.0,131.0,99.0,3.435,27.0,23.0,230.0,434.0,2013-11-13 00:00:00
河北省,保定市,130600,,,,248.0,57.0,66.0,2.281,55.0,43.0,163.0,335.0,2013-11-14 00:00:00
河北省,保定市,130600,,,,194.0,87.0,68.0,2.195,53.0,36.0,121.0,303.0,2013-11-15 00:00:00
河北省,保定市,130600,,,,147.0,31.0,29.0,1.25,62.0,57.0,65.0,216.0,2013-11-16 00:00:00
河北省,保定市,130600,,,,76.0,50.0,35.0,1.358,52.0,47.0,40.0,98.0,2013-11-17 00:00:00
河北省,保定市,130600,,,,104.0,82.0,55.0,1.699,45.0,36.0,72.0,140.0,2013-11-18 00:00:00
河北省,保定市,130600,,,,110.0,71.0,56.0,1.611,52.0,41.0,75.0,141.0,2013-11-19 00:00:00
河北省,保定市,130600,,,,228.0,122.0,91.0,3.071,27.0,25.0,176.0,301.0,2013-11-20 00:00:00
河北省,保定市,130600,,,,310.0,141.0,105.0,3.816,35.0,26.0,246.0,410.0,2013-11-21 00:00:00
河北省,保定市,130600,,,,429.0,233.0,142.0,5.57,28.0,22.0,340.0,554.0,2013-11-22 00:00:00
河北省,保定市,130600,,,,490.0,253.0,172.0,6.644,33.0,27.0,458.0,728.0,2013-11-23 00:00:00
河北省,保定市,130600,,,,335.0,133.0,104.0,4.978,28.0,28.0,289.0,482.0,2013-11-24 00:00:00
河北省,保定市,130600,,,,68.0,42.0,30.0,1.586,60.0,53.0,34.0,81.0,2013-11-25 00:00:00
河北省,保定市,130600,,,,128.0,83.0,55.0,2.04,56.0,38.0,85.0,186.0,2013-11-26 00:00:00
河北省,保定市,130600,,,,79.0,23.0,21.0,0.826,75.0,66.0,25.0,109.0,2013-11-27 00:00:00
河北省,保定市,130600,,,,84.0,50.0,43.0,1.798,63.0,51.0,52.0,101.0,2013-11-28 00:00:00
河北省,保定市,130600,,,,139.0,96.0,76.0,2.827,42.0,38.0,88.0,202.0,2013-11-29 00:00:00
河北省,保定市,130600,,,,147.0,95.0,85.0,3.027,38.0,34.0,80.0,220.0,2013-11-30 00:00:00
河北省,保定市,130600,,,,190.0,112.0,80.0,3.085,35.0,30.0,111.0,265.0,2013-12-01 00:00:00
