province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,廊坊市,131000,,,,142,82,78,1.579,47,41,107,160,2013/12/1 0:00
河北省,廊坊市,131000,,,,265,147,128,3.339,15,30,218,298,2013/12/2 0:00
河北省,廊坊市,131000,,,,146,84,89,1.748,49,12,109,168,2013/12/3 0:00
河北省,廊坊市,131000,,,,219,109,103,2.98,25,31,176,242,2013/12/4 0:00
河北省,廊坊市,131000,,,,108,80,64,1.591,38,19,77,124,2013/12/5 0:00
河北省,廊坊市,131000,,,,193,91,83,2.292,21,26,153,214,2013/12/6 0:00
河北省,廊坊市,131000,,,,429,99,145,5.422,9,16,395,486,2013/12/7 0:00
河北省,廊坊市,131000,,,,355,58,104,3.542,27,14,301,440,2013/12/8 0:00
河北省,廊坊市,131000,,,,57,27,36,0.561,38,27,26,62,2013/12/9 0:00
河北省,廊坊市,131000,,,,142,56,52,1.56,40,34,83,168,2013/12/10 0:00
河北省,廊坊市,131000,,,,77,57,51,1.085,43,33,47,83,2013/12/11 0:00
河北省,廊坊市,131000,,,,73,35,38,0.58,46,33,36,86,2013/12/12 0:00
河北省,廊坊市,131000,,,,100,71,58,1.37,40,43,72,115,2013/12/13 0:00
河北省,廊坊市,131000,,,,130,79,78,1.866,37,32,96,143,2013/12/14 0:00
河北省,廊坊市,131000,,,,156,79,86,2.689,28,25,120,171,2013/12/15 0:00
河北省,廊坊市,131000,,,,333,108,135,5.28,9,20,284,362,2013/12/16 0:00
河北省,廊坊市,131000,,,,244,130,90,3.615,13,8,195,249,2013/12/17 0:00
河北省,廊坊市,131000,,,,81,47,52,0.888,23,16,54,81,2013/12/18 0:00
河北省,廊坊市,131000,,,,97,54,56,1.086,30,20,69,97,2013/12/19 0:00
河北省,廊坊市,131000,,,,98,51,64,1.293,44,31,67,104,2013/12/20 0:00
河北省,廊坊市,131000,,,,131,73,85,1.361,30,33,101,130,2013/12/21 0:00
河北省,廊坊市,131000,,,,359,142,117,3.356,14,23,313,361,2013/12/22 0:00
河北省,廊坊市,131000,,,,305,126,134,3.576,37,9,260,315,2013/12/23 0:00
河北省,廊坊市,131000,,,,371,148,152,5.093,15,16,331,398,2013/12/24 0:00
河北省,廊坊市,131000,,,,400,93,131,4.303,40,11,363,471,2013/12/25 0:00
河北省,廊坊市,131000,,,,50,14,26,0.321,53,41,13,55,2013/12/26 0:00
河北省,廊坊市,131000,,,,56,37,57,0.729,43,46,33,60,2013/12/27 0:00
河北省,廊坊市,131000,,,,63,33,47,0.684,45,28,40,59,2013/12/28 0:00
河北省,廊坊市,131000,,,,154,97,76,1.97,43,38,117,168,2013/12/29 0:00
河北省,廊坊市,131000,,,,109,63,70,1.321,49,26,70,140,2013/12/30 0:00
河北省,廊坊市,131000,,,,166,72,70,2.121,69,32,109,218,2013/12/31 0:00
河北省,廊坊市,131000,,,,154,80,74,2.066,57,39,114,200,2014/1/1 0:00
