province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,张家口市,131200,,,,48.0,34.0,25.0,0.632,139.0,143.0,27.0,49.0,2013-08-01 00:00:00
河北省,张家口市,131200,,,,62.0,37.0,24.0,0.605,166.0,117.0,27.0,68.0,2013-08-02 00:00:00
河北省,张家口市,131200,,,,52.0,30.0,20.0,0.393,174.0,137.0,19.0,43.0,2013-08-03 00:00:00
河北省,张家口市,131200,,,,50.0,30.0,22.0,0.458,151.0,156.0,24.0,46.0,2013-08-04 00:00:00
河北省,张家口市,131200,,,,56.0,31.0,26.0,0.523,158.0,136.0,28.0,58.0,2013-08-05 00:00:00
河北省,张家口市,131200,,,,71.0,36.0,21.0,0.607,197.0,148.0,37.0,69.0,2013-08-06 00:00:00
河北省,张家口市,131200,,,,43.0,28.0,20.0,0.475,98.0,180.0,22.0,35.0,2013-08-07 00:00:00
河北省,张家口市,131200,,,,56.0,27.0,19.0,0.458,160.0,87.0,30.0,54.0,2013-08-08 00:00:00
河北省,张家口市,131200,,,,46.0,22.0,14.0,0.329,91.0,121.0,26.0,37.0,2013-08-09 00:00:00
河北省,张家口市,131200,,,,85.0,42.0,26.0,0.788,193.0,134.0,39.0,106.0,2013-08-10 00:00:00
河北省,张家口市,131200,,,,90.0,32.0,20.0,0.82,178.0,173.0,60.0,107.0,2013-08-11 00:00:00
河北省,张家口市,131200,,,,77.0,42.0,28.0,0.725,169.0,161.0,44.0,83.0,2013-08-12 00:00:00
河北省,张家口市,131200,,,,77.0,39.0,23.0,0.779,185.0,144.0,44.0,89.0,2013-08-13 00:00:00
河北省,张家口市,131200,,,,80.0,36.0,21.0,0.742,199.0,161.0,47.0,93.0,2013-08-14 00:00:00
河北省,张家口市,131200,,,,113.0,35.0,20.0,0.859,178.0,175.0,82.0,131.0,2013-08-15 00:00:00
河北省,张家口市,131200,,,,95.0,35.0,21.0,0.74,124.0,163.0,64.0,95.0,2013-08-16 00:00:00
河北省,张家口市,131200,,,,49.0,31.0,15.0,0.335,104.0,96.0,15.0,53.0,2013-08-17 00:00:00
河北省,张家口市,131200,,,,38.0,31.0,15.0,0.418,109.0,98.0,14.0,32.0,2013-08-18 00:00:00
河北省,张家口市,131200,,,,47.0,30.0,18.0,0.405,105.0,97.0,19.0,42.0,2013-08-19 00:00:00
河北省,张家口市,131200,,,,68.0,30.0,29.0,0.621,89.0,91.0,30.0,77.0,2013-08-20 00:00:00
河北省,张家口市,131200,,,,84.0,31.0,24.0,0.77,119.0,82.0,56.0,91.0,2013-08-21 00:00:00
河北省,张家口市,131200,,,,72.0,30.0,21.0,0.656,81.0,111.0,47.0,74.0,2013-08-22 00:00:00
河北省,张家口市,131200,,,,39.0,31.0,16.0,0.433,72.0,85.0,18.0,38.0,2013-08-23 00:00:00
河北省,张家口市,131200,,,,43.0,25.0,20.0,0.44,98.0,65.0,17.0,45.0,2013-08-24 00:00:00
河北省,张家口市,131200,,,,54.0,23.0,21.0,0.461,108.0,86.0,24.0,59.0,2013-08-25 00:00:00
河北省,张家口市,131200,,,,46.0,22.0,20.0,0.35,106.0,97.0,16.0,49.0,2013-08-26 00:00:00
河北省,张家口市,131200,,,,80.0,24.0,19.0,0.757,141.0,96.0,51.0,94.0,2013-08-27 00:00:00
河北省,张家口市,131200,,,,68.0,23.0,20.0,0.665,104.0,131.0,36.0,68.0,2013-08-28 00:00:00
河北省,张家口市,131200,,,,38.0,18.0,9.0,0.145,48.0,77.0,9.0,70.0,2013-08-29 00:00:00
河北省,张家口市,131200,,,,28.0,17.0,13.0,0.418,61.0,47.0,11.0,23.0,2013-08-30 00:00:00
河北省,张家口市,131200,,,,49.0,17.0,18.0,0.511,69.0,55.0,21.0,48.0,2013-08-31 00:00:00
河北省,张家口市,131200,,,,47.0,18.0,23.0,0.564,89.0,61.0,19.0,45.0,2013-09-01 00:00:00
