province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
北京市,北京市,110000,,,,93,6,61,1.3,12,10,70,108,2013/10/1 0:00
北京市,北京市,110000,,,,34,5,37,0.415,87,70,17,32,2013/10/2 0:00
北京市,北京市,110000,,,,81,26,53,1.365,90,69,58,88,2013/10/3 0:00
北京市,北京市,110000,,,,186,32,69,2.222,130,89,149,176,2013/10/4 0:00
北京市,北京市,110000,,,,334,22,80,2.431,140,96,285,301,2013/10/5 0:00
北京市,北京市,110000,,,,256,23,71,2.577,65,41,207,211,2013/10/6 0:00
北京市,北京市,110000,,,,114,19,44,1.219,69,58,83,93,2013/10/7 0:00
北京市,北京市,110000,,,,72,25,43,0.917,107,84,51,80,2013/10/8 0:00
北京市,北京市,110000,,,,127,17,67,1.254,50,34,96,125,2013/10/9 0:00
北京市,北京市,110000,,,,124,11,65,1.171,64,62,89,117,2013/10/10 0:00
北京市,北京市,110000,,,,72,13,65,0.806,100,75,47,85,2013/10/11 0:00
北京市,北京市,110000,,,,82,12,75,0.883,101,69,60,88,2013/10/12 0:00
北京市,北京市,110000,,,,70,12,55,0.85,66,42,50,67,2013/10/13 0:00
北京市,北京市,110000,,,,46,3,39,0.594,47,43,29,45,2013/10/14 0:00
北京市,北京市,110000,,,,38,5,31,0.356,63,53,21,25,2013/10/15 0:00
北京市,北京市,110000,,,,72,12,64,4.612,61,44,49,65,2013/10/16 0:00
北京市,北京市,110000,,,,156,24,77,3.622,81,56,118,142,2013/10/17 0:00
北京市,北京市,110000,,,,274,53,125,2.289,62,30,225,238,2013/10/18 0:00
北京市,北京市,110000,,,,84,9,41,0.719,56,52,63,50,2013/10/19 0:00
北京市,北京市,110000,,,,42,6,49,0.551,70,53,25,42,2013/10/20 0:00
北京市,北京市,110000,,,,110,13,78,1.021,88,57,81,114,2013/10/21 0:00
北京市,北京市,110000,,,,164,28,76,1.339,61,45,125,138,2013/10/22 0:00
北京市,北京市,110000,,,,52,6,36,0.49,50,43,24,66,2013/10/23 0:00
北京市,北京市,110000,,,,42,4,26,0.479,80,69,21,43,2013/10/24 0:00
北京市,北京市,110000,,,,59,7,56,0.826,83,68,41,62,2013/10/25 0:00
北京市,北京市,110000,,,,86,13,68,0.958,78,53,63,89,2013/10/26 0:00
北京市,北京市,110000,,,,225,27,110,1.966,27,20,183,212,2013/10/27 0:00
北京市,北京市,110000,,,,326,34,114,3.029,78,49,276,293,2013/10/28 0:00
北京市,北京市,110000,,,,51,10,46,0.778,64,59,33,62,2013/10/29 0:00
北京市,北京市,110000,,,,108,12,73,1.181,68,36,80,105,2013/10/30 0:00
北京市,北京市,110000,,,,186,11,98,1.672,33,33,144,166,2013/10/31 0:00
