obj,day,aqi-bj-1,pm2.5-bj-1,pm10-bj-1,co-bj-1,no2-bj-1,so2-bj-1,o3-bj-1,aqi-lf-1,pm2.5-lf-1,pm10-lf-1,co-lf-1,no2-lf-1,so2-lf-1,o3-lf-1,aqi-ts-1,pm2.5-ts-1,pm10-ts-1,co-ts-1,no2-ts-1,so2-ts-1,o3-ts-1,aqi-tj-1,pm2.5-tj-1,pm10-tj-1,co-tj-1,no2-tj-1,so2-tj-1,o3-tj-1,aqi-zjk-1,pm2.5-zjk-1,pm10-zjk-1,co-zjk-1,no2-zjk-1,so2-zjk-1,o3-zjk-1,aqi-cd-1,pm2.5-cd-1,pm10-cd-1,co-cd-1,no2-cd-1,so2-cd-1,o3-cd-1,OvallGrd-bj-1,pm25Scr-bj-1,pm25Grd-bj-1,pm10Scr-bj-1,pm10Grd-bj-1,no2Scr-bj-1,no2Grd-bj-1,pollute-bj-1,OvallGrd-lf-1,pm25Scr-lf-1,pm25Grd-lf-1,pm10Scr-lf-1,pm10Grd-lf-1,pollute-lf-1,aqi-bj-1-s2,aqi-bj-1-s3,aqi-bj-1-sq,no2Grd-bj-1-s2,no2Grd-bj-1-s3,no2Grd-bj-1-sq,OvallGrd-bj-1-s2,OvallGrd-bj-1-s3,OvallGrd-bj-1-sq,pollute-bj-1-s2,pollute-bj-1-s3,pollute-bj-1-sq,no2Scr-bj-1-s2,no2Scr-bj-1-s3,no2Scr-bj-1-sq,pm2.5-bj-1-s2,pm2.5-bj-1-s3,pm2.5-bj-1-sq,pm25Grd-bj-1-s2,pm25Grd-bj-1-s3,pm25Grd-bj-1-sq,pm10Grd-bj-1-s2,pm10Grd-bj-1-s3,pm10Grd-bj-1-sq,pm10-bj-1-s2,pm10-bj-1-s3,pm10-bj-1-sq,year_2013,year_2014,year_2015,year_2016,year_2017,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,class-aqi_1,class-aqi_2,class-aqi_3,class-aqi_4,class-aqi_5,class-aqi_6,class-bj-1_1,class-bj-1_2,class-bj-1_3,class-bj-1_4,class-bj-1_5,class-bj-1_6,class-lf-1_1,class-lf-1_2,class-lf-1_3,class-lf-1_4,class-lf-1_5,class-lf-1_6,class-ts-1_1,class-ts-1_2,class-ts-1_3,class-ts-1_4,class-ts-1_5,class-ts-1_6,class-tj-1_1,class-tj-1_2,class-tj-1_3,class-tj-1_4,class-tj-1_5,class-tj-1_6,class-zjk-1_1,class-zjk-1_2,class-zjk-1_3,class-zjk-1_4,class-zjk-1_5,class-zjk-1_6,class-cd-1_1,class-cd-1_2,class-cd-1_3,class-cd-1_4,class-cd-1_5,class-cd-1_6,SimpClass-cd-1_1,SimpClass-cd-1_2,SimpClass-cd-1_3,SimpClass-cd-1_4,SimpClass-lf-1_1,SimpClass-lf-1_2,SimpClass-lf-1_3,SimpClass-lf-1_4,SimpClass-lf-1_5,SimpClass-tj-1_1,SimpClass-tj-1_2,SimpClass-tj-1_3,SimpClass-tj-1_4,SimpClass-ts-1_1,SimpClass-ts-1_2,SimpClass-ts-1_3,SimpClass-ts-1_4,SimpClass-zjk-1_1,SimpClass-zjk-1_2,SimpClass-zjk-1_3,class-bj-1-s2_1,class-bj-1-s2_4,class-bj-1-s2_9,class-bj-1-s2_16,class-bj-1-s2_25,class-bj-1-s2_36,class-bj-1-s3_1,class-bj-1-s3_8,class-bj-1-s3_27,class-bj-1-s3_64,class-bj-1-s3_125,class-bj-1-s3_216,class-bj-1-sq_1.0,class-bj-1-sq_1.41421356237,class-bj-1-sq_1.73205080757,class-bj-1-sq_2.0,class-bj-1-sq_2.2360679775,class-bj-1-sq_2.44948974278
4.465908119,3,4.96284463,4.700480366,4.934473933,1.280933845,4.48863637,4.127134385,11,5.545177444,5.327876169,5.648974238,1.410986974,4.94875989,5.036952602,12,5.902633333,5.755742214,5.988961417,1.704748092,4.762173935,5.056245805,13,5.739792912,5.564520407,6.042632834,1.504077397,4.941642423,5.308267697,13,4.744932128,4.394449155,5.187385806,1.064710737,4.317488114,4.836281907,34,4.672828834,4.219507705,5.099866428,1.193922468,4.043051268,4.521788577,15,6.056784013,9.647239546,5.793013608,9.883131772,6.02827852,9.433243894,5.579729826,5.577463108,7.151485464,10.86429265,6.933423026,11.1867243,7.255591274,6.069351086,9.911703707,14.86748152,11.91637529,11.15191255,16.72784736,2.847700648,12.1088842,18.16331805,3.074532707,11.14736199,16.72102142,2.846628985,18.86632775,28.29949162,4.725487864,9.382779929,14.07404442,2.437142778,11.57992969,17.36988054,2.948805292,12.05173778,18.07759794,3.060910744,9.854559879,14.78176144,11.74734012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4.700480366,4,4.465908119,4.17438727,4.465908119,0.955511445,4.007333185,3.663561646,45,5.036952602,4.770684624,5.187385806,1.029619417,4.532599493,4.465908119,35,5.66296048,5.472270674,5.771441123,1.62924054,4.584967479,5.176149733,20,5.420534999,5.170483995,5.605802066,1.435084525,4.718498871,4.9698133,31,4.430816799,3.828641396,4.770684624,0.741937345,3.871201011,4.477336814,52,4.644390899,4.304065093,5.056245805,1.029619417,3.988984047,4.17438727,17,5.153291594,8.613412049,4.859812404,8.908829792,5.153291594,8.443546651,4.691347882,5.080161357,6.418364936,9.792667717,6.150602768,10.21225819,6.56948142,5.56221891,8.908829792,13.36304346,9.273618495,9.364348184,14.04639448,2.432938114,10.29502276,15.44248363,2.647229351,10.14788523,15.22176935,2.613094806,16.88666273,25.32999403,4.236233229,8.318010278,12.47665306,2.197224577,9.704121561,14.55609127,2.510713154,10.29502276,15.44248363,2.647229351,8.908829792,13.36304346,9.273618495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4.043051268,5,4.700480366,4.418840608,4.624972813,1.098612289,4.143134726,3.761200116,23,5.442417711,5.198497031,5.509388337,1.386294361,4.634728988,4.718498871,18,5.488937726,5.257495372,5.697093487,1.481604541,4.634728988,5.164785974,15,5.620400866,5.420534999,5.888877958,1.589235205,4.859812404,5.288267031,12,4.553876892,3.931825633,4.934473933,0.78845736,3.988984047,4.787491743,41,4.584967479,4.127134385,4.983606622,1.064710737,3.970291914,4.204692619,9,5.793013608,9.098179005,5.509388337,9.30655923,5.717027701,8.818630229,5.231108617,5.271973391,7.048386409,10.63106031,6.803505258,10.94342852,7.115582126,5.934364955,9.382779929,14.07404442,10.44030651,10.45152225,15.67724018,2.6836333,11.57992969,17.36988054,2.948805292,10.53368002,15.80048024,2.702783479,17.63696456,26.4554468,4.421332148,8.813587204,13.22015956,2.308108326,11.0106796,16.51599467,2.81447338,11.4274765,17.14119845,2.912725333,9.230339058,13.84536252,10.04987562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5.135798437,6,4.043051268,3.688879454,4.043051268,0.78845736,3.663561646,3.433987204,52,4.691347882,4.406719247,4.882801923,0.955511445,4.143134726,4.317488114,35,4.605170186,4.262679877,5.003946306,1.223775432,4.007333185,4.795790546,31,4.844187086,4.574710979,5.214935758,1.193922468,4.262679877,4.624972813,26,4.127134385,3.465735903,4.290459441,0.530628251,3.465735903,4.442651256,56,4.477336814,3.931825633,4.828313737,0.832909123,3.737669618,3.951243719,34,4.727387819,7.689371108,4.369447852,8.051022208,4.727387819,7.663407665,4.343805422,4.642465971,5.783825182,9.076694687,5.497168225,9.557399229,5.976350909,5.230038526,8.051022208,12.07606077,7.483314774,8.661639796,12.9922023,2.273959038,9.437077459,14.15549733,2.449538959,9.265665328,13.89835698,2.41045547,15.32587592,22.98881355,3.852915053,7.327780538,10.9907018,1.980311299,8.713582005,13.07012859,2.28561805,9.437077459,14.15549733,2.449538959,8.051022208,12.07606077,7.483314774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5.676753802,7,5.135798437,4.859812404,5.093750201,1.252762968,4.369447852,3.891820298,15,5.33753808,5.062595033,5.384495063,1.16315081,4.454347296,4.532599493,16,4.94875989,4.682131227,5.141663557,1.16315081,4.262679877,4.859812404,16,4.762173935,4.48863637,5.075173815,0.955511445,4.262679877,4.744932128,16,4.442651256,3.988984047,4.787491743,0.741937345,3.80666249,4.543294782,40,4.553876892,3.784189634,4.941642423,0.993251773,3.912023005,4.060443011,17,6.517671273,9.981975206,6.240275845,10.21753158,6.475432717,9.4866834,5.746203191,5.695750303,6.943122423,10.38899537,6.666956792,10.71263841,6.9902565,5.803929423,10.25983244,15.38969635,13,11.48601665,17.2290096,2.926570909,13.03238834,19.54857923,3.295836866,11.38478023,17.07715333,2.902633983,18.97321509,28.45982262,4.751975882,9.704121561,14.55609127,2.510713154,12.47665306,18.71497388,3.162407775,12.94778377,19.42167209,3.275477084,10.17523077,15.26278924,12.72792206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5.411646052,8,5.676753802,5.488937726,5.655991811,1.648658626,4.59511985,4.17438727,6,6.059123196,5.96870756,6.17586727,1.887069649,4.976733742,4.59511985,9,5.638354669,5.442417711,5.762051383,1.791759469,4.394449155,5.605802066,8,5.690359454,5.505331536,5.993961427,1.410986974,4.682131227,4.955827058,11,4.615120517,4.204692619,5.010635294,0.832909123,4.025351691,4.912654886,35,4.727387819,4.110873864,5.164785974,1.098612289,4.007333185,4.204692619,11,7.283448229,11.15813446,7.095064377,11.32582451,7.262628601,10.25832581,6.196444128,6.251903883,7.848933726,12.02293676,7.758333467,12.230575,7.965892735,6.652863029,11.34665834,17.01996984,17.05872211,12.38881495,18.58321618,3.141387409,14.56552283,21.84828354,3.667258963,12.49995421,18.74992573,3.167987221,20.51658149,30.77487224,5.135049528,10.96961108,16.45439087,2.804824442,14.18847038,21.28270454,3.575517846,14.52385468,21.78578128,3.657109392,11.30499067,16.95746758,16.88194302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3.295836866,9,5.411646052,5.159055299,5.247024072,1.360976553,4.110873864,3.871201011,41,5.826000107,5.666426688,6.011267174,1.435084525,4.553876892,4.007333185,11,5.831882477,5.673323267,6.003887067,1.916922612,4.343805422,5.480638923,6,5.517452896,5.293304825,5.799092654,1.609437912,4.477336814,4.49980967,9,4.219507705,3.401197382,4.430816799,0.470003629,3.044522438,4.382026635,58,4.804021045,4.394449155,5.257495372,1.131402111,3.891820298,4.060443011,19,7.017506143,10.56048929,6.763884909,10.64894251,6.852242569,9.501591069,5.707110265,5.872681011,7.61529834,11.48601665,7.455298486,11.83186635,7.800982071,6.42097165,10.81436365,16.2215154,14.93318452,11.40757606,17.11134746,2.908021092,14.03322017,21.04982905,3.537812805,11.73973142,17.6095852,2.986701716,19.00303267,28.504549,4.75936615,10.3066166,15.45987498,2.649922831,13.52546035,20.28818852,3.414800516,13.70237097,20.55355478,3.457604567,10.48352202,15.72524119,13.74772708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3.828641396,10,3.295836866,2.48490665,2.833213344,0.470003629,3.135494216,2.397895273,51,4.043051268,3.17805383,4.127134385,0.405465108,3.555348061,3.258096538,33,4.219507705,3.555348061,4.442651256,0.741937345,3.610917913,4.043051268,48,3.761200116,3.218875825,3.761200116,0.693147181,3.583518938,3.713572067,39,3.713572067,2.995732274,3.713572067,0.405465108,2.944438979,4.382026635,72,3.583518938,2.944438979,3.583518938,0.336472237,2.833213344,2.890371758,49,3.295836866,5.659482216,2.48490665,6.033086222,2.833213344,6.350885717,3.135494216,3.577947893,4.727387819,7.161622003,3.850147602,8.136518252,4.812184355,4.287715955,6.517671273,9.774346508,5.099019514,6.184148891,9.27322127,1.738783314,6.517671273,9.774346508,1.808128023,7.100060169,10.64887589,1.931398575,12.69828104,19.04741698,3.215531097,4.804021045,7.194436851,1.462473798,4.804021045,7.194436851,1.462473798,5.549076085,8.318010278,1.609437912,5.549076085,8.318010278,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3.433987204,11,3.828641396,3.091042453,3.828641396,0.693147181,3.401197382,2.708050201,52,4.753590191,4.477336814,5.147494477,0.955511445,4.007333185,4.094344562,33,4.762173935,4.48863637,5.093750201,1.098612289,4.007333185,4.406719247,35,4.700480366,4.382026635,5.123963979,1.098612289,4.077537444,4.574710979,36,4.48863637,3.135494216,4.844187086,0.336472237,2.890371758,3.988984047,71,4.077537444,3.36729583,4.204692619,0.470003629,3.218875825,3.433987204,49,3.828641396,6.852242569,3.091042453,7.613818685,3.828641396,7.17472431,3.401197382,4.283586562,5.846438775,9.210940192,5.568344504,9.886646535,6.242223265,5.415211118,7.613818685,11.41999844,6.708203932,6.735780014,10.10192849,1.853977301,7.613818685,11.41999844,2.042285207,8.539590489,12.80909508,2.246624848,14.34791723,21.52187496,3.614284772,6.091309882,9.133675287,1.719650264,6.091309882,9.133675287,1.719650264,7.613818685,11.41999844,2.042285207,7.613818685,11.41999844,6.708203932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3.401197382,12,3.433987204,2.995732274,3.433987204,0.530628251,3.433987204,2.772588722,45,4.189654742,3.80666249,4.406719247,0.741937345,3.931825633,4.007333185,35,4.158883083,3.713572067,4.33073334,0.693147181,3.912023005,3.931825633,41,4.262679877,3.688879454,4.521788577,0.875468737,3.951243719,4.369447852,36,4.007333185,3.36729583,4.094344562,0.587786665,3.555348061,4.574710979,68,3.828641396,3.258096538,3.828641396,0.470003629,3.135494216,3.295836866,50,3.433987204,6.34738921,2.995732274,6.803505258,3.433987204,6.803505258,3.433987204,4.077537444,4.875197323,7.958926493,4.48863637,8.56902634,5.093750201,4.698660529,6.803505258,10.20362918,5.477225575,6.803505258,10.20362918,1.868292267,6.803505258,10.20362918,1.868292267,8.121183242,12.18133416,2.153594605,13.60479076,20.40718429,3.433987204,5.891644212,8.833462721,1.678758533,5.891644212,8.833462721,1.678758533,6.803505258,10.20362918,1.868292267,6.803505258,10.20362918,5.477225575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
