,pm,year,month,day,weekday,aqi-bj-1,pm2.5-bj-1,pm10-bj-1,co-bj-1,no2-bj-1,so2-bj-1,o3-bj-1,class-pm2.5-1,class-bj-1,aqi-bd-1,pm2.5-bd-1,pm10-bd-1,co-bd-1,no2-bd-1,so2-bd-1,o3-bd-1,class-bd-1,aqi-lf-1,pm2.5-lf-1,pm10-lf-1,co-lf-1,no2-lf-1,so2-lf-1,o3-lf-1,class-lf-1,aqi-ts-1,pm2.5-ts-1,pm10-ts-1,co-ts-1,no2-ts-1,so2-ts-1,o3-ts-1,class-ts-1,aqi-tj-1,pm2.5-tj-1,pm10-tj-1,co-tj-1,no2-tj-1,so2-tj-1,o3-tj-1,class-tj-1,aqi-zjk-1,pm2.5-zjk-1,pm10-zjk-1,co-zjk-1,no2-zjk-1,so2-zjk-1,o3-zjk-1,class-zjk-1,aqi-cd-1,pm2.5-cd-1,pm10-cd-1,co-cd-1,no2-cd-1,so2-cd-1,o3-cd-1,class-cd-1,EVP,GST-mean,GST-max,GST-min,PRE-208,PRE-820,PRE-2020,PRE-b,PRS-mean,PRS-max,PRS-min,RHU-mean,RHU-min,SSD,TEM-mean,TEM-max,TEM-min,WIN-mean,WIN-max,WD-max,WIN-ext,WD-ext,SimpClass-cd-1,SimpClass-lf-1,SimpClass-tj-1,SimpClass-ts-1,SimpClass-zjk-1,pm10-bj-1-poly,co-bj-1-poly,so2-bj-1-poly,o3-bj-1-poly,so2-lf-1-poly,pm10-tj-1-poly,no2-cd-1-poly,so2-cd-1-poly,no2-bd-1-poly,so2-ts-1-poly,month-sin,WD-max-sin,WD-max-cos,WD-max-sint,WD-max-sine,WD-ext-sin,WD-ext-cos,WD-ext-sint,WD-ext-sine,o3-bj-1-exp,o3-lf-1-exp,so2-tj-1-exp,o3-tj-1-exp,o3-zjk-1-exp,o3-cd-1-exp,o3-bd-1-exp,o3-ts-1-exp,EVP-exp,WIN-mean-exp,WIN-max-exp,WIN-ext-exp,pm2.5-zjk-1-log,pm10-zjk-1-log,so2-zjk-1-log,pm2.5-cd-1-log,pm10-cd-1-log,so2-bd-1-log,co-bd-1-hill,WIN-max-project1,WIN-max-project2,WIN-ext-project1,WIN-ext-project2,WIN-max-sin,WIN-max-cos,WIN-max-sint,WIN-max-sine,WIN-ext-sin,WIN-ext-cos,WIN-ext-sint,WIN-ext-sine
0,64,2013,12,2,1,142,109,138,2.6,88,61,11,2,3,294,244,377,4.2,138.0,144,29,5,255,205,283,3.1,140,153,12,5,365,315,398,4.5,116,156,13,6,310,260,420,3.5,139,201,13,6,114,80,178,1.9,74,125,34,3,106,67,163,2.3,56,91,15,3,15.0,-11,220,-83,0,0,0,0,10151,10172,10129,47,19,79,29,115,-35,10,22,4,35,2,3,4,4,4,3,97.09289174150624,131.98722784026143,144.34691895083532,144.61076,169.77825948955143,167.7792,131.39239999999992,143.03866,170.448231184,133.25815999999998,102.64487235393511,0.9238795325112867,0.38268343236508984,0.7933533402912352,85.74307670291915,0.3826834323650898,0.9238795325112867,0.9914448613738103,61.53724164220754,147.3489928000081,130.70748614153877,122.04419966477234,137.93783095382815,126.99077306318443,149.96907754186924,93.80372046675862,130.4760821430695,104.22500606922333,137.98266624735757,162.53788887867543,160.29001542011542,131.68143986448615,119.15127356891959,136.7729633449503,110.19332071000224,117.37571480795964,120.75172304387553,124.8594365928067,128.94997706578275,13936.498673254817,158.91871211780224,9863.805411740816,20.325349715248308,8.419035512031977,17.453773486407172,1886.3476874642215,13.393920132778142,32.335783637895034,34.70057014808336,2153.8034574772637
1,82,2013,12,3,2,86,64,86,1.6,54,38,45,3,2,329,279,426,5.2,107.0,123,44,6,153,117,178,1.8,92,86,35,4,287,237,320,4.1,97,176,20,5,225,175,271,3.2,111,143,31,5,83,45,117,1.1,47,87,52,2,103,73,156,1.8,53,64,17,3,27.0,27,240,-70,0,0,0,0,10177,10200,10153,42,16,82,50,147,-10,14,43,1,65,1,3,3,4,4,2,69.97532362416653,97.30637555337958,122.25740602031901,78.25500000000001,135.61471480631727,135.10379799999998,122.91529999999995,142.81456,141.507486846,139.17656,102.64487235393511,0.0,1.0,0.8660254037844385,49.8070598257431,0.0,1.0,0.8660254037844385,48.63124656303406,78.55890284078569,80.78411241136268,121.39024069248327,89.35902033904816,93.57973514213312,143.18117154816665,75.61052578286598,111.52980538822709,77.15255235566931,102.69271736214623,73.26875327635733,84.10847590166341,102.73915493399399,101.32245192400516,122.1479623574643,115.51389441524788,114.71344954522323,115.50495700822762,135.56560089713767,63.452601640939754,3649.3011777931406,72.84007680443177,4090.300029614802,0.0,43.0,37.23909236273086,2141.7035725069536,0.0,65.0,56.291651245988504,3161.031026597214
2,39,2013,12,4,3,109,82,101,2.0,62,42,23,2,3,273,223,357,3.8,101.0,141,23,5,230,180,246,3.0,102,111,18,5,241,191,297,3.4,102,174,15,5,275,225,360,3.9,128,197,12,5,94,50,138,1.2,53,119,41,2,97,61,145,1.9,52,66,9,2,17.0,7,206,-73,0,0,0,0,10159,10179,10140,47,20,78,47,134,-16,11,21,4,32,4,2,4,4,4,2,78.21730990654027,111.9409930557094,126.6276633323796,116.74531999999999,149.80571464635847,157.40879999999999,119.98119999999997,143.93815999999998,133.245917922,138.65455999999998,102.64487235393511,0.9238795325112867,0.38268343236508984,0.7933533402912352,85.74307670291915,0.9238795325112867,0.38268343236508984,0.7933533402912352,83.59710776655277,109.21995834828456,109.97389287282718,122.02879108602465,142.61915906910446,110.89335412048409,174.06285177816306,108.73208417448032,124.35853810508874,98.2887710741326,127.73774043761644,170.25035895639115,172.59105022711967,108.03133012972732,108.32045504783018,134.77703291654444,104.495541750023,110.31514232053064,120.05042654089937,119.85420414612705,135.06869096383474,14597.789586697365,136.92568620205773,14428.112625379044,19.40147018273702,8.036352079666887,16.66042014611594,1800.6046107613022,29.564145040361176,12.245869835682875,25.387306889319525,2675.1074485296886
3,128,2013,12,5,4,56,39,56,1.2,38,30,52,4,2,137,105,187,2.8,81.0,95,27,3,108,81,131,1.6,62,74,35,3,99,70,148,2.4,54,120,31,2,126,96,183,2.3,70,101,26,3,61,31,72,0.7,31,84,56,2,87,50,124,1.3,41,51,34,2,41.0,39,219,-52,0,0,0,0,10197,10231,10152,32,16,82,64,109,34,26,53,2,81,1,2,2,2,1,2,51.98882978998528,81.22594307157303,112.52470455455186,69.09368,127.89477131386116,104.918742,86.30689999999997,131.19386,103.58682500199998,118.69399999999999,102.64487235393511,0.3826834323650898,0.9238795325112867,0.9914448613738103,62.55265256171912,0.0,1.0,0.8660254037844385,48.63124656303406,74.08361657671118,80.78411241136268,118.98280393170833,97.84663865464047,89.04663396456041,103.47427943073819,98.079979983998,92.54680957318527,62.35439313683276,53.980461018934875,57.34633400540034,64.79814066269364,84.05784191419384,80.90319834189229,120.74277574679392,92.86902406136323,101.06881896625157,106.92930379886886,104.81736091287745,56.85572816828036,3587.165306728106,56.1168359318901,3151.2143553936176,20.28222191534976,48.9656152230982,52.54657765281195,3315.2905857711135,0.0,81.0,70.14805770653952,3939.130971605759
4,241,2013,12,6,5,169,128,162,2.5,78,48,15,5,4,288,238,379,3.9,105.0,122,21,5,207,157,217,2.2,85,92,16,5,140,107,170,2.2,70,128,16,3,116,88,159,1.6,70,114,16,3,84,53,119,1.1,44,93,40,2,94,43,139,1.7,49,57,17,2,22.0,-3,177,-73,0,0,0,0,10160,10193,10135,50,27,68,31,99,-17,11,34,11,51,11,2,4,2,2,2,108.49653963000624,128.7766177194046,132.7026839974776,134.745,139.228989678201,95.28331800000001,110.94609999999997,137.48713999999998,138.81288024999998,122.36503999999998,102.64487235393511,0.7071067811865475,0.7071067811865477,0.9659258262890684,88.869891911976,0.7071067811865475,0.7071067811865477,0.9659258262890684,91.27768757882615,131.999361971944,116.01379368479184,120.11403399665154,125.55591720459397,112.90890767688913,143.18117154816665,115.33108443779761,121.52537691303823,86.17584382085428,127.73774043761644,98.55946976927183,111.0298285190685,110.95982327403676,102.03988130195721,124.82434132231587,84.48643883128068,107.79492676425025,115.2334944228298,121.15114265548725,95.20113727549635,8758.969425296853,107.24657885501482,10134.545999494176,24.041630560342615,24.04163056034262,32.84147809382833,3021.576325007184,36.062445840513924,36.06244584051393,49.26221714074249,4655.1620665201335
5,173,2013,12,7,6,291,241,285,4.2,98,64,6,5,5,477,383,577,5.9,125.0,143,31,6,427,390,480,5.6,144,98,9,6,280,230,317,5.0,80,271,8,5,295,245,400,3.1,107,141,11,5,100,66,149,1.3,55,135,35,2,112,60,174,2.0,54,66,11,3,7.0,-15,108,-75,0,0,0,0,10161,10178,10145,74,57,41,15,62,-20,14,27,5,41,3,3,5,4,4,2,160.44509009979345,178.362769059531,146.79945987880663,157.78536,142.70217370136498,164.73999999999995,125.79959999999997,143.93815999999998,161.89453125,146.09446,102.64487235393511,1.0,6.123233995736766e-17,0.5000000000000004,94.76270269809025,0.7071067811865476,0.7071067811865476,0.9659258262890684,73.3336899255578,171.46344120649644,144.5067926865026,121.33679547366759,147.60815951736373,124.38610789697469,165.3569436286479,90.10322943136319,148.7914466484346,136.37741761382776,102.69271736214623,130.2207829253522,138.88864317130623,121.99415429537778,111.5790791709898,139.90165778344158,103.50538145218263,121.36585962733244,120.51957724432856,141.8653135345686,65.11039146267616,12340.073337467698,134.15612741741154,10185.216692506012,27.0,1.6532731788489269e-15,13.500000000000012,2558.5929728484366,28.99137802864845,28.99137802864845,39.602958877851805,3006.68128694787
6,11,2013,12,8,7,223,173,189,2.9,60,47,41,1,5,367,301,474,4.4,100.0,75,20,6,338,288,407,3.2,94,54,11,6,340,290,404,5.8,76,239,6,6,248,198,329,4.0,87,89,9,5,67,29,83,0.6,20,79,58,2,121,80,191,2.1,48,57,19,3,26.0,32,175,-38,0,0,0,0,10167,10194,10142,66,20,11,46,102,11,23,70,15,136,15,3,5,4,4,2,120.72074158959514,141.3542584333889,131.72585334409584,84.12715999999999,113.10608894636441,150.578198,107.87879999999997,137.48713999999998,131.822,147.67526,102.64487235393511,0.7071067811865477,0.7071067811865474,0.25881904510252013,41.24493746729556,0.7071067811865477,0.7071067811865474,0.25881904510252013,47.40415284653825,81.9246189132711,135.013514656374,117.38769179653175,158.59139138392635,87.05463006048714,136.93362167309007,119.00617385552302,157.52536069950628,78.75113896794686,61.15598026753125,44.97759596074312,40.34435025217241,80.72220284146975,86.85338534896933,118.29065892333021,121.30652229785119,127.11919956928921,99.1112966822518,127.19135542702965,11.641058437566501,1855.0981328301355,10.441886207548881,1912.489745848255,49.497474683058336,49.497474683058314,18.117333157176407,2887.145622710689,96.16652224137049,96.16652224137044,35.199390133942735,6446.964787129203
7,21,2013,12,9,1,26,11,16,0.6,22,10,51,1,1,75,49,100,1.7,51.0,58,29,2,56,23,61,0.5,34,25,33,2,67,34,84,1.1,36,56,48,2,42,24,42,1.0,35,40,39,1,40,19,40,0.5,18,79,72,1,35,18,35,0.4,16,17,49,1,50.0,13,178,-69,0,0,0,0,10200,10221,10181,29,18,74,31,65,10,37,70,16,142,16,1,1,1,1,1,21.83229525028985,52.563472553584276,76.52647681539315,70.31796,83.76238262788313,39.699192000000004,36.864399999999996,65.42154,64.630224622,80.38616,102.64487235393511,0.3826834323650904,0.9238795325112865,0.6087614290087204,29.388746960849474,0.3826834323650904,0.9238795325112865,0.6087614290087204,33.816696457430766,74.6301299676843,82.79826060932166,96.96455828183987,80.32111596025015,77.00297827779629,85.51364204853459,93.80372046675862,77.89288144741553,57.60073290912809,40.639421527837676,44.97759596074312,39.42982169035987,59.64223642547505,56.66521499669055,118.29065892333021,44.41950384287321,37.45123393052825,90.65150739093934,81.81212759522985,27.380625590438836,1321.8351865976051,24.00335459778252,1333.3863114735195,26.787840265556326,64.67156727579005,42.61330003061043,2057.212287259463,54.341047395842835,131.1908936166027,86.4441229192383,4801.970896955168
8,19,2013,12,10,2,45,21,45,1.0,29,14,52,1,1,183,138,237,3.0,63.0,73,42,4,115,87,171,1.6,54,59,33,3,116,88,162,2.0,54,81,35,3,109,79,167,2.0,58,96,36,3,88,22,126,0.4,17,53,71,2,58,28,66,0.6,24,30,49,2,29.0,-12,147,-88,0,0,0,0,10158,10188,10124,38,17,47,8,70,-45,34,91,14,160,14,2,2,2,2,2,44.68192766053707,72.44,86.11770171318135,69.09368,117.08053642084414,98.561942,44.40359999999999,96.614,78.27798213399998,97.24166,102.64487235393511,0.9238795325112866,0.38268343236509,0.13052619222005268,53.89422967928594,0.9238795325112866,0.38268343236509,0.13052619222005268,60.389429728364576,74.08361657671118,82.79826060932166,118.39608577572042,83.1850642485349,77.53883286390223,85.51364204853459,77.05606148998358,87.88608162070966,74.22443020813057,42.92094131640164,39.98956907658282,37.52128930083111,66.93541184561464,104.4611366786202,102.53416686252275,62.898594019119,66.53760176383406,98.21953763892952,108.17047171066693,5.219686180087123,2155.207020589025,4.8975110196244875,2265.889263550178,84.07303745852708,34.82419234522319,11.877883492024795,4904.374900815021,147.82072520180586,61.2293491784144,20.88419075520843,9662.308756538332
9,16,2013,12,11,3,30,19,30,0.7,30,15,45,1,1,90,51,129,1.9,56.0,94,43,2,65,44,81,1.1,50,54,35,2,63,40,75,1.0,49,50,41,2,70,39,91,1.4,51,78,36,2,54,28,59,0.8,34,96,68,2,45,25,45,0.6,22,26,50,1,31.0,-4,163,-92,0,0,0,0,10160,10195,10127,28,18,80,11,63,-21,23,51,15,104,16,1,1,1,1,2,33.74229491357182,57.90533773644994,88.22820120886054,78.25500000000001,113.10608894636441,64.71731799999999,41.53719999999999,87.81336,69.88192435199997,75.98,102.64487235393511,0.7071067811865477,0.7071067811865474,0.25881904510252013,41.24493746729556,0.3826834323650904,0.9238795325112865,0.6087614290087204,33.816696457430766,78.55890284078569,80.78411241136268,115.22853275542309,83.1850642485349,79.29090399829221,84.6680215956168,76.30717457938565,82.45321531652318,71.62166171875703,61.15598026753125,59.81457160445008,49.528739939972446,78.96812772679233,72.61983251953767,126.10100998042945,57.786703151172844,48.204855059941735,106.57865977606141,86.71408499273105,15.481150305880085,2467.0482654586162,30.151186502858913,1674.898364469076,36.06244584051393,36.06244584051392,13.199771300228527,2103.4918108320735,39.7990769659694,96.0834713811738,63.311188616906925,3516.9364315728
