,target,day,aqi-bj,pm2.5-bj,pm10-bj,co-bj,no2-bj,so2-bj,o3-bj,aqi-bd,pm2.5-bd,pm10-bd,co-bd,no2-bd,so2-bd,o3-bd,aqi-lf,pm2.5-lf,pm10-lf,co-lf,no2-lf,so2-lf,o3-lf,aqi-ts,pm2.5-ts,pm10-ts,co-ts,no2-ts,so2-ts,o3-ts,aqi-tj,pm2.5-tj,pm10-tj,co-tj,no2-tj,so2-tj,o3-tj,aqi-zjk,pm2.5-zjk,pm10-zjk,co-zjk,no2-zjk,so2-zjk,o3-zjk,aqi-cd,pm2.5-cd,pm10-cd,co-cd,no2-cd,so2-cd,o3-cd,EVP,GST-mean,GST-max,GST-min,PRE-208,PRE-820,PRE-2020,PRS-mean,PRS-max,PRS-min,RHU-mean,RHU-min,SSD,TEM-mean,TEM-max,TEM-min,WIN-mean,WIN-max,WD-max,WIN-ext,WD-ext,pm10-bj-sqt,co-bj-sqt,so2-bj-sqt,o3-bj-poly,pm2.5-bj-sqt,aqi-bj-sqt,so2-lf-sqt,pm2.5-lf-sqt,aqi-lf-sqt,co-lf-sqt,pm10-tj-poly,no2-cd-poly,no2-cd-s2,so2-cd-poly,co-cd-s2,co-cd-sqt,no2-bd-poly,so2-ts-poly,no2-zjk-s2,WD-max-sin,WD-max-cos,WD-max-sint,WD-ext-sin,WD-ext-cos,WD-ext-sint,o3-bj-exp,o3-lf-exp,so2-tj-exp,o3-tj-exp,o3-zjk-exp,o3-cd-exp,o3-bd-exp,o3-ts-exp,EVP-exp,WIN-mean-exp,WIN-max-exp,WIN-ext-exp,pm2.5-zjk-log,pm10-zjk-log,so2-zjk-log,pm2.5-cd-log,pm10-cd-log,so2-bd-log,co-bd-log,WIN-max-project1,WIN-ext-project1,WIN-max-sin,WIN-max-cos,WIN-max-sint,WIN-ext-sin,WIN-ext-cos,WIN-ext-sint,year_2013,year_2014,year_2015,year_2016,year_2017,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,class-pm2.5_1,class-pm2.5_2,class-pm2.5_3,class-pm2.5_4,class-pm2.5_5,class-pm2.5_6,class-bj_1,class-bj_2,class-bj_3,class-bj_4,class-bj_5,class-bj_6,class-bd_1,class-bd_2,class-bd_3,class-bd_4,class-bd_5,class-bd_6,class-lf_1,class-lf_2,class-lf_3,class-lf_4,class-lf_5,class-lf_6,class-ts_1,class-ts_2,class-ts_3,class-ts_4,class-ts_5,class-ts_6,class-tj_1,class-tj_2,class-tj_3,class-tj_4,class-tj_5,class-tj_6,class-zjk_1,class-zjk_2,class-zjk_3,class-zjk_4,class-zjk_5,class-zjk_6,class-cd_1,class-cd_2,class-cd_3,class-cd_4,class-cd_5,class-cd_6,PRE-b_0,PRE-b_1,SimpClass-cd_1,SimpClass-cd_2,SimpClass-cd_3,SimpClass-cd_4,SimpClass-lf_1,SimpClass-lf_2,SimpClass-lf_3,SimpClass-lf_4,SimpClass-lf_5,SimpClass-tj_1,SimpClass-tj_2,SimpClass-tj_3,SimpClass-tj_4,SimpClass-ts_1,SimpClass-ts_2,SimpClass-ts_3,SimpClass-ts_4,SimpClass-zjk_1,SimpClass-zjk_2,SimpClass-zjk_3
0,64,2,142,109,138,2.6,88,61,11,294,244,377,4.2,138.0,144,29,255,205,283,3.1,140,153,12,365,315,398,4.5,116,156,13,310,260,420,3.5,139,201,13,114,80,178,1.9,74,125,34,106,67,163,2.3,56,91,15,15.0,-11,220,-83,0,0,0,10151,10172,10129,47,19,79,29,115,-35,10,22,4,35,2,11.74734012447073,1.61245154965971,7.810249675906654,1463,10.44030650891055,11.916375287812984,12.36931687685298,14.317821063276353,15.968719422671311,1.51657508881031,176820,178808,3136,8372,5.289999999999999,1.51657508881031,2647254.0,24492,5476,0.9238795325112867,0.38268343236508984,0.7933533402912352,0.3826834323650898,0.9238795325112867,0.9914448613738103,1.670170079024566e-05,6.14421235332821e-06,5.09107080895011e-88,2.2603294069810542e-06,1.713908431542013e-15,3.059023205018258e-07,2.543665647376923e-13,2.2603294069810542e-06,3.059023205018258e-07,4.5399929762484854e-05,2.7894680928689246e-10,6.305116760146989e-16,4.382026634673881,5.181783550292085,4.8283137373023015,4.204692619390966,5.093750200806762,4.969813299576001,1.4350845252893227,2.2130338291133828e-10,6.25117561220962e-16,20.325349715248308,8.419035512031977,17.453773486407172,13.393920132778142,32.335783637895034,34.70057014808336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,82,3,86,64,86,1.6,54,38,45,329,279,426,5.2,107.0,123,44,153,117,178,1.8,92,86,35,287,237,320,4.1,97,176,20,225,175,271,3.2,111,143,31,83,45,117,1.1,47,87,52,103,73,156,1.8,53,64,17,27.0,27,240,-70,0,0,0,10177,10200,10153,42,16,82,50,147,-10,14,43,1,65,1,9.273618495495704,1.2649110640673518,6.164414002968976,93195,8.0,9.273618495495704,9.273618495495704,10.816653826391969,12.36931687685298,1.3416407864998738,73712,151739,2809,4160,3.24,1.3416407864998738,1236599.0,31152,2209,0.0,1.0,0.8660254037844385,0.0,1.0,0.8660254037844385,2.8625185805493937e-20,6.305116760146989e-16,7.868448159078602e-63,3.442477108469977e-14,2.6102790696677047e-23,4.139937718785167e-08,7.781132241133797e-20,2.061153622438558e-09,1.8795288165390832e-12,8.315287191035679e-07,2.1151310375910805e-19,5.900090541597061e-29,3.8066624897703196,4.762173934797756,4.465908118654584,4.290459441148391,5.049856007249537,4.812184355372417,1.6486586255873816,1.8317572108868138e-19,5.109628293651342e-29,0.0,43.0,37.23909236273086,0.0,65.0,56.291651245988504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
2,39,4,109,82,101,2.0,62,42,23,273,223,357,3.8,101.0,141,23,230,180,246,3.0,102,111,18,241,191,297,3.4,102,174,15,275,225,360,3.9,128,197,12,94,50,138,1.2,53,119,41,97,61,145,1.9,52,66,9,17.0,7,206,-73,0,0,0,10159,10179,10140,47,20,78,47,134,-16,11,21,4,32,4,10.04987562112089,1.4142135623730951,6.48074069840786,12719,9.055385138137417,10.44030650891055,10.535653752852738,13.416407864998739,15.165750888103101,1.378404875209022,129960,143364,2704,4422,3.61,1.378404875209022,1040603.0,30450,2809,0.9238795325112867,0.38268343236508984,0.7933533402912352,0.9238795325112867,0.38268343236508984,0.7933533402912352,1.026187963170189e-10,1.522997974471263e-08,2.779630478564191e-86,6.14421235332821e-06,1.5628821893349888e-18,0.00012340980408667956,1.026187963170189e-10,3.059023205018258e-07,4.139937718785167e-08,1.670170079024566e-05,7.582560427911907e-10,1.2664165549094176e-14,3.912023005428146,4.927253685157205,4.77912349311153,4.110873864173311,4.976733742420574,4.948759890378168,1.33500106673234,6.015649643444049e-10,1.0047158040375049e-14,19.40147018273702,8.036352079666887,16.66042014611594,29.564145040361176,12.245869835682875,25.387306889319525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3,128,5,56,39,56,1.2,38,30,52,137,105,187,2.8,81.0,95,27,108,81,131,1.6,62,74,35,99,70,148,2.4,54,120,31,126,96,183,2.3,70,101,26,61,31,72,0.7,31,84,56,87,50,124,1.3,41,51,34,41.0,39,219,-52,0,0,0,10197,10231,10152,32,16,82,64,109,34,26,53,2,81,1,7.483314773547883,1.0954451150103321,5.477225575051661,143364,6.244997998398398,7.483314773547883,8.602325267042627,9.0,10.392304845413264,1.140175425099138,33672,70643,1681,2652,1.6900000000000002,1.140175425099138,538083.0,14520,961,0.3826834323650898,0.9238795325112867,0.9914448613738103,0.0,1.0,0.8660254037844385,2.6102790696677047e-23,6.305116760146989e-16,1.368539471173853e-44,5.109089028063325e-12,4.780892883885469e-25,1.713908431542013e-15,1.8795288165390832e-12,3.442477108469977e-14,1.5628821893349888e-18,5.109089028063325e-12,9.602680054508676e-24,6.639677199580735e-36,3.4339872044851463,4.276666119016055,4.430816798843313,3.912023005428146,4.820281565605037,4.553876891600541,1.0296194171811581,9.520527795459406e-24,5.750129127765236e-36,20.28222191534976,48.9656152230982,52.54657765281195,0.0,81.0,70.14805770653952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
4,241,6,169,128,162,2.5,78,48,15,288,238,379,3.9,105.0,122,21,207,157,217,2.2,85,92,16,140,107,170,2.2,70,128,16,116,88,159,1.6,70,114,16,84,53,119,1.1,44,93,40,94,43,139,1.7,49,57,17,22.0,-3,177,-73,0,0,0,10160,10193,10135,50,27,68,31,99,-17,11,34,11,51,11,12.727922061357855,1.5811388300841898,6.928203230275509,3615,11.313708498984761,13.0,9.591663046625438,12.529964086141668,14.38749456993816,1.3038404810405297,25440,120099,2401,3306,2.8899999999999997,1.3038404810405297,1168755.0,16512,1936,0.7071067811865475,0.7071067811865477,0.9659258262890684,0.7071067811865475,0.7071067811865477,0.9659258262890684,3.059023205018258e-07,1.1253517471925912e-07,3.093350011308561e-50,1.1253517471925912e-07,4.248354255291589e-18,4.139937718785167e-08,7.582560427911907e-10,1.1253517471925912e-07,2.7894680928689246e-10,1.670170079024566e-05,1.713908431542013e-15,7.095474162284704e-23,3.970291913552122,4.77912349311153,4.532599493153256,3.7612001156935624,4.9344739331306915,4.804021044733257,1.3609765531356006,1.6555084179210202e-15,6.853701743117587e-23,24.041630560342615,24.04163056034262,32.84147809382833,36.062445840513924,36.06244584051393,49.26221714074249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
5,173,7,291,241,285,4.2,98,64,6,477,383,577,5.9,125.0,143,31,427,390,480,5.6,144,98,9,280,230,317,5.0,80,271,8,295,245,400,3.1,107,141,11,100,66,149,1.3,55,135,35,112,60,174,2.0,54,66,11,7.0,-15,108,-75,0,0,0,10161,10178,10145,74,57,41,15,62,-20,14,27,5,41,3,16.881943016134134,2.04939015319192,8.0,258,15.524174696260024,17.05872210923198,9.899494936611665,19.748417658131498,20.663978319771825,1.4142135623730951,160400,160434,2916,4422,4.0,1.4142135623730951,1968875.0,73712,3025,1.0,6.123233995736766e-17,0.5000000000000004,0.7071067811865476,0.7071067811865476,0.9659258262890684,0.0024787521766663585,0.00012340980408667956,5.814040485895939e-62,1.670170079024566e-05,6.305116760146989e-16,1.670170079024566e-05,3.442477108469977e-14,0.00033546262790251185,0.0009118819655545162,8.315287191035679e-07,1.8795288165390832e-12,1.5628821893349888e-18,4.189654742026425,5.003946305945459,4.90527477843843,4.0943445622221,5.159055299214529,4.962844630259907,1.7749523509116738,9.397644082695424e-13,1.5096282701258673e-18,27.0,1.6532731788489269e-15,13.500000000000012,28.99137802864845,28.99137802864845,39.602958877851805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
6,11,8,223,173,189,2.9,60,47,41,367,301,474,4.4,100.0,75,20,338,288,407,3.2,94,54,11,340,290,404,5.8,76,239,6,248,198,329,4.0,87,89,9,67,29,83,0.6,20,79,58,121,80,191,2.1,48,57,19,26.0,32,175,-38,0,0,0,10167,10194,10142,66,20,11,46,102,11,23,70,15,136,15,13.74772708486752,1.70293863659264,6.855654600401044,70643,13.152946437965905,14.933184523068078,7.3484692283495345,16.97056274847714,18.384776310850235,1.449137674618944,108570,112944,2304,3306,4.41,1.449137674618944,1010100.0,57360,400,0.7071067811865477,0.7071067811865474,0.25881904510252013,0.7071067811865477,0.7071067811865474,0.25881904510252013,1.5628821893349888e-18,1.670170079024566e-05,2.2273635617957438e-39,0.00012340980408667956,6.47023492564546e-26,5.602796437537268e-09,2.061153622438558e-09,0.0024787521766663585,5.109089028063325e-12,1.026187963170189e-10,3.975449735908647e-31,8.628801156620959e-60,3.367295829986474,4.418840607796598,4.3694478524670215,4.382026634673881,5.25227342804663,4.31748811353631,1.4816045409242156,1.0289221045009418e-31,2.2332980757361577e-60,49.497474683058336,49.497474683058314,18.117333157176407,96.16652224137049,96.16652224137044,35.199390133942735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
7,21,9,26,11,16,0.6,22,10,51,75,49,100,1.7,51.0,58,29,56,23,61,0.5,34,25,33,67,34,84,1.1,36,56,48,42,24,42,1.0,35,40,39,40,19,40,0.5,18,79,72,35,18,35,0.4,16,17,49,50.0,13,178,-69,0,0,0,10200,10221,10181,29,18,74,31,65,10,37,70,16,142,16,4.0,0.7745966692414834,3.1622776601683795,135303,3.3166247903554,5.0990195135927845,5.0,4.795831523312719,7.483314773547883,0.6324555320336759,1806,4368,256,306,0.16000000000000003,0.6324555320336759,135303.0,3192,324,0.3826834323650904,0.9238795325112865,0.6087614290087204,0.3826834323650904,0.9238795325112865,0.6087614290087204,7.095474162284704e-23,4.658886145103398e-15,4.248354255291589e-18,1.1548224173015786e-17,5.380186160021138e-32,5.242885663363464e-22,2.543665647376923e-13,1.4251640827409352e-21,1.9287498479639178e-22,8.533047625744066e-17,3.975449735908647e-31,2.138865964899539e-62,2.9444389791664403,3.6888794541139363,4.3694478524670215,2.8903717578961645,3.5553480614894135,4.060443010546419,0.5306282510621704,2.420100462184088e-31,1.302059101250359e-62,26.787840265556326,64.67156727579005,42.61330003061043,54.341047395842835,131.1908936166027,86.4441229192383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
8,19,10,45,21,45,1.0,29,14,52,183,138,237,3.0,63.0,73,42,115,87,171,1.6,54,59,33,116,88,162,2.0,54,81,35,109,79,167,2.0,58,96,36,88,22,126,0.4,17,53,71,58,28,66,0.6,24,30,49,29.0,-12,147,-88,0,0,0,10158,10188,10124,38,17,47,8,70,-45,34,91,14,160,14,6.708203932499369,1.0,3.7416573867739413,143364,4.58257569495584,6.708203932499369,7.681145747868608,9.327379053088816,10.723805294763608,0.7745966692414834,28056,14424,576,930,0.36,0.7745966692414834,254079.0,6642,289,0.9238795325112866,0.38268343236509,0.13052619222005268,0.9238795325112866,0.38268343236509,0.13052619222005268,2.6102790696677047e-23,4.658886145103398e-15,2.031092662734811e-42,2.3195228302435696e-16,1.462486227251231e-31,5.242885663363464e-22,5.74952226429356e-19,6.305116760146989e-16,2.543665647376923e-13,1.713908431542013e-15,3.0144087850653746e-40,3.257488532207521e-70,3.091042453358316,4.836281906951478,3.970291913552122,3.332204510175204,4.189654742026425,4.290459441148391,1.0986122886681098,3.9345930050925854e-41,4.251875743095362e-71,84.07303745852708,34.82419234522319,11.877883492024795,147.82072520180586,61.2293491784144,20.88419075520843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
9,16,11,30,19,30,0.7,30,15,45,90,51,129,1.9,56.0,94,43,65,44,81,1.1,50,54,35,63,40,75,1.0,49,50,41,70,39,91,1.4,51,78,36,54,28,59,0.8,34,96,68,45,25,45,0.6,22,26,50,31.0,-4,163,-92,0,0,0,10160,10195,10127,28,18,80,11,63,-21,23,51,15,104,16,5.477225575051661,0.8366600265340756,3.872983346207417,93195,4.358898943540674,5.477225575051661,7.3484692283495345,6.6332495807108,8.06225774829855,0.7745966692414834,8372,11154,484,702,0.36,0.7745966692414834,178808.0,2550,1156,0.7071067811865477,0.7071067811865474,0.25881904510252013,0.3826834323650904,0.9238795325112865,0.6087614290087204,2.8625185805493937e-20,6.305116760146989e-16,1.3336148155022614e-34,2.3195228302435696e-16,2.9374821117108028e-30,1.9287498479639178e-22,2.1151310375910805e-19,1.5628821893349888e-18,3.442477108469977e-14,1.026187963170189e-10,7.095474162284704e-23,6.813556821545298e-46,3.332204510175204,4.07753744390572,4.564348191467836,3.2188758248682006,3.8066624897703196,4.543294782270004,0.6418538861723947,1.8364438472321308e-23,4.147830587316031e-46,36.06244584051393,36.06244584051392,13.199771300228527,39.7990769659694,96.0834713811738,63.311188616906925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
