obj,day,aqi-bj-1,pm2.5-bj-1,pm10-bj-1,co-bj-1,no2-bj-1,so2-bj-1,o3-bj-1,aqi-lf-1,pm2.5-lf-1,pm10-lf-1,co-lf-1,no2-lf-1,so2-lf-1,o3-lf-1,aqi-ts-1,pm2.5-ts-1,pm10-ts-1,co-ts-1,no2-ts-1,so2-ts-1,o3-ts-1,aqi-tj-1,pm2.5-tj-1,pm10-tj-1,co-tj-1,no2-tj-1,so2-tj-1,o3-tj-1,aqi-zjk-1,pm2.5-zjk-1,pm10-zjk-1,co-zjk-1,no2-zjk-1,so2-zjk-1,o3-zjk-1,aqi-cd-1,pm2.5-cd-1,pm10-cd-1,co-cd-1,no2-cd-1,so2-cd-1,o3-cd-1,year_2013,year_2014,year_2015,year_2016,year_2017,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,class-aqi_1,class-aqi_2,class-aqi_3,class-aqi_4,class-aqi_5,class-aqi_6,class-bj-1_1,class-bj-1_2,class-bj-1_3,class-bj-1_4,class-bj-1_5,class-bj-1_6,class-lf-1_1,class-lf-1_2,class-lf-1_3,class-lf-1_4,class-lf-1_5,class-lf-1_6,class-ts-1_1,class-ts-1_2,class-ts-1_3,class-ts-1_4,class-ts-1_5,class-ts-1_6,class-tj-1_1,class-tj-1_2,class-tj-1_3,class-tj-1_4,class-tj-1_5,class-tj-1_6,class-zjk-1_1,class-zjk-1_2,class-zjk-1_3,class-zjk-1_4,class-zjk-1_5,class-zjk-1_6,class-cd-1_1,class-cd-1_2,class-cd-1_3,class-cd-1_4,class-cd-1_5,class-cd-1_6
4.465908119,3,4.96284463,4.700480366,4.934473933,1.280933845,4.48863637,4.127134385,11,5.545177444,5.327876169,5.648974238,1.410986974,4.94875989,5.036952602,12,5.902633333,5.755742214,5.988961417,1.704748092,4.762173935,5.056245805,13,5.739792912,5.564520407,6.042632834,1.504077397,4.941642423,5.308267697,13,4.744932128,4.394449155,5.187385806,1.064710737,4.317488114,4.836281907,34,4.672828834,4.219507705,5.099866428,1.193922468,4.043051268,4.521788577,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
4.700480366,4,4.465908119,4.17438727,4.465908119,0.955511445,4.007333185,3.663561646,45,5.036952602,4.770684624,5.187385806,1.029619417,4.532599493,4.465908119,35,5.66296048,5.472270674,5.771441123,1.62924054,4.584967479,5.176149733,20,5.420534999,5.170483995,5.605802066,1.435084525,4.718498871,4.9698133,31,4.430816799,3.828641396,4.770684624,0.741937345,3.871201011,4.477336814,52,4.644390899,4.304065093,5.056245805,1.029619417,3.988984047,4.17438727,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
4.043051268,5,4.700480366,4.418840608,4.624972813,1.098612289,4.143134726,3.761200116,23,5.442417711,5.198497031,5.509388337,1.386294361,4.634728988,4.718498871,18,5.488937726,5.257495372,5.697093487,1.481604541,4.634728988,5.164785974,15,5.620400866,5.420534999,5.888877958,1.589235205,4.859812404,5.288267031,12,4.553876892,3.931825633,4.934473933,0.78845736,3.988984047,4.787491743,41,4.584967479,4.127134385,4.983606622,1.064710737,3.970291914,4.204692619,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5.135798437,6,4.043051268,3.688879454,4.043051268,0.78845736,3.663561646,3.433987204,52,4.691347882,4.406719247,4.882801923,0.955511445,4.143134726,4.317488114,35,4.605170186,4.262679877,5.003946306,1.223775432,4.007333185,4.795790546,31,4.844187086,4.574710979,5.214935758,1.193922468,4.262679877,4.624972813,26,4.127134385,3.465735903,4.290459441,0.530628251,3.465735903,4.442651256,56,4.477336814,3.931825633,4.828313737,0.832909123,3.737669618,3.951243719,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5.676753802,7,5.135798437,4.859812404,5.093750201,1.252762968,4.369447852,3.891820298,15,5.33753808,5.062595033,5.384495063,1.16315081,4.454347296,4.532599493,16,4.94875989,4.682131227,5.141663557,1.16315081,4.262679877,4.859812404,16,4.762173935,4.48863637,5.075173815,0.955511445,4.262679877,4.744932128,16,4.442651256,3.988984047,4.787491743,0.741937345,3.80666249,4.543294782,40,4.553876892,3.784189634,4.941642423,0.993251773,3.912023005,4.060443011,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5.411646052,8,5.676753802,5.488937726,5.655991811,1.648658626,4.59511985,4.17438727,6,6.059123196,5.96870756,6.17586727,1.887069649,4.976733742,4.59511985,9,5.638354669,5.442417711,5.762051383,1.791759469,4.394449155,5.605802066,8,5.690359454,5.505331536,5.993961427,1.410986974,4.682131227,4.955827058,11,4.615120517,4.204692619,5.010635294,0.832909123,4.025351691,4.912654886,35,4.727387819,4.110873864,5.164785974,1.098612289,4.007333185,4.204692619,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
3.295836866,9,5.411646052,5.159055299,5.247024072,1.360976553,4.110873864,3.871201011,41,5.826000107,5.666426688,6.011267174,1.435084525,4.553876892,4.007333185,11,5.831882477,5.673323267,6.003887067,1.916922612,4.343805422,5.480638923,6,5.517452896,5.293304825,5.799092654,1.609437912,4.477336814,4.49980967,9,4.219507705,3.401197382,4.430816799,0.470003629,3.044522438,4.382026635,58,4.804021045,4.394449155,5.257495372,1.131402111,3.891820298,4.060443011,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
3.828641396,10,3.295836866,2.48490665,2.833213344,0.470003629,3.135494216,2.397895273,51,4.043051268,3.17805383,4.127134385,0.405465108,3.555348061,3.258096538,33,4.219507705,3.555348061,4.442651256,0.741937345,3.610917913,4.043051268,48,3.761200116,3.218875825,3.761200116,0.693147181,3.583518938,3.713572067,39,3.713572067,2.995732274,3.713572067,0.405465108,2.944438979,4.382026635,72,3.583518938,2.944438979,3.583518938,0.336472237,2.833213344,2.890371758,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3.433987204,11,3.828641396,3.091042453,3.828641396,0.693147181,3.401197382,2.708050201,52,4.753590191,4.477336814,5.147494477,0.955511445,4.007333185,4.094344562,33,4.762173935,4.48863637,5.093750201,1.098612289,4.007333185,4.406719247,35,4.700480366,4.382026635,5.123963979,1.098612289,4.077537444,4.574710979,36,4.48863637,3.135494216,4.844187086,0.336472237,2.890371758,3.988984047,71,4.077537444,3.36729583,4.204692619,0.470003629,3.218875825,3.433987204,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3.401197382,12,3.433987204,2.995732274,3.433987204,0.530628251,3.433987204,2.772588722,45,4.189654742,3.80666249,4.406719247,0.741937345,3.931825633,4.007333185,35,4.158883083,3.713572067,4.33073334,0.693147181,3.912023005,3.931825633,41,4.262679877,3.688879454,4.521788577,0.875468737,3.951243719,4.369447852,36,4.007333185,3.36729583,4.094344562,0.587786665,3.555348061,4.574710979,68,3.828641396,3.258096538,3.828641396,0.470003629,3.135494216,3.295836866,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4.204692619,13,3.401197382,2.833213344,3.401197382,0.587786665,3.258096538,2.48490665,56,4.276666119,3.761200116,4.532599493,0.530628251,3.737669618,3.688879454,43,4.584967479,4.304065093,4.927253685,1.098612289,3.951243719,4.543294782,49,4.465908119,3.871201011,4.804021045,0.875468737,3.828641396,4.234106505,48,3.828641396,3.044522438,3.828641396,0.405465108,3.135494216,3.951243719,69,3.912023005,3.17805383,3.912023005,0.405465108,2.944438979,3.091042453,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4.043051268,14,4.204692619,3.891820298,4.158883083,0.832909123,3.828641396,3.401197382,29,4.48863637,4.189654742,4.682131227,0.832909123,4.060443011,4.262679877,33,4.343805422,4.043051268,4.584967479,0.832909123,3.931825633,4.094344562,38,4.382026635,3.931825633,4.691347882,0.955511445,4.025351691,4.532599493,33,4.234106505,3.496507561,4.477336814,0.641853886,3.583518938,4.574710979,53,3.80666249,3.433987204,3.713572067,0.405465108,3.135494216,3.135494216,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
